"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"503
Contemp Political Thought","001","","51","2.843","7.8","25.5","31.4","17.6","11.8","2.0","3.9",".",".",".",".",".",".",".",".","."
"506
Topics in Political Philos","001","","118","3.487","33.9","39.0","16.9","3.4","4.2",".",".","0.8",".",".",".",".","0.8",".","0.8","."
"530
Ethics&Values-Policy Making","001","","53","3.314","15.1","43.4","26.4","9.4","1.9",".",".","1.9",".",".",".",".",".","1.9",".","."
"544
Intro to Survey Research","001","","8","3.429","25.0","25.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"552
Multivar Stat Infernc-Pol Rsch","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"553
Intro Stat Computing-Poli Sci","001","","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"612
Transitions to the Market","001","","46","2.761","13.0","23.9","19.6","19.6","10.9","10.9","2.2",".",".",".",".",".",".",".",".","."
"617
Comparatv Legal Institutns","001","","58","3.132","13.8","32.8","32.8","10.3","6.9",".","1.7",".",".",".",".",".",".",".","1.7","."
"618
Political Islam","001","","21","3.188","42.9","28.6","14.3",".","4.8",".","9.5",".",".",".",".",".",".",".",".","."
"627
The British Political Sys","001","","21","3.325","23.8","42.9","23.8",".",".",".","4.8",".",".",".",".",".","4.8",".",".","."
"639","001","","33","2.879","3.0","27.3","33.3","15.2","21.2",".",".",".",".",".",".",".",".",".",".","."
"639","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Politics of Southeast Asia","Course Total","","38","2.882","2.6","28.9","31.6","15.8","21.1",".",".",".",".",".",".",".",".",".",".","."
"659
Pol&Society:Contemp E Europ","001","","46","3.011","21.7","19.6","21.7","21.7","13.0",".","2.2",".",".",".",".",".",".",".",".","."
"660
African Politics","001","","61","3.325","26.2","16.4","52.5","1.6","1.6",".",".",".",".",".",".",".","1.6",".",".","."
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"684
Senior Honors Thesis Smr","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"685
Honors Research Internship","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","000A","","8","3.304","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"690","000B","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","11","3.274","9.1","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Stdy Abroad-Pol Sci:CmpartvPol","Course Total","","11","3.274","9.1","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"692","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","001","","15","3.767","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"695","002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","35","3.900","88.6","8.6",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"698","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 283 of 407",""
