"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"440
Musical Performnc for Actor","001","","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"453
Javanese Performance Repertory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"462
Thtr-Yng Audiences:Productn","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Costume Technology Topics","001","","7","3.580","71.4",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"472
Scenic Painting","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"522
Theatre-Europe:1850-Present","001","","24","3.417","41.7","33.3","16.7",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"541
Acting Shakespeare","001","","12","3.279","41.7","25.0","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","34","3.850","73.5","23.5",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"568
Directing Lab","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"570
Advanced Stagecraft","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Adv Technical Practices","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Set Design II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","002","","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"619","003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","30","3.685","76.7","10.0","10.0",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"631
Theories of Acting","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","78.6",".",".",".",".",".",".","14.3",".",".",".",".","7.1",".",".","."
"731
Adv Theatre Hist-500bc-1700","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Graduate Stage Movement","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Smr-Probs in Theatre&Drama","001","","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 318 of 407",""
