"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"The US Since 1945","398","001","72","3.403","20.8","43.1","26.4","6.9",".",".",".",".",".",".",".",".",".",".","2.8","."
"Amer Urban Hist Since 1870","402","001","75","3.604","46.7","34.7","2.7","1.3","1.3",".","2.7","10.7",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","69","3.374","37.7","14.5","31.9","7.2","5.8",".",".","2.9",".",".",".",".",".",".",".","."
"Hist-Germany, 1871-Present","410","001","71","2.993","14.1","28.2","29.6","9.9","8.5","5.6","1.4","1.4",".",".",".",".","1.4",".",".","."
"History-American Education","412","001","94","3.404","33.0","37.2","19.1","7.4","1.1",".","2.1",".",".",".",".",".",".",".",".","."
"E Europe Jews in US,1880-1930s","416","001","42","2.972","16.7","21.4","35.7","7.1","9.5","4.8","2.4","2.4",".",".",".",".",".",".",".","."
"History of Russia","418","001","88","3.235","19.3","28.4","33.0","12.5",".",".","2.3","3.4",".",".",".",".",".",".","1.1","."
"Soviet Union & World,1917-1991","424","001","39","3.284","15.4","41.0","25.6","7.7","5.1",".",".","2.6",".",".",".",".","2.6",".",".","."
"Amer Foreign Rel-1901 on","434","001","191","3.444","24.1","46.1","23.6","4.2",".",".","0.5","1.0",".",".",".",".","0.5",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","39","2.986","17.9","20.5","35.9","7.7","5.1","2.6","5.1","5.1",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","106","3.096","18.9","17.9","43.4","9.4","5.7","0.9","1.9","0.9",".",".",".",".","0.9",".",".","."
"History of North Africa","440","001","33","3.144","12.1","33.3","36.4","12.1","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Hist of Equatorial Africa","445","001","18","3.328","33.3","16.7","22.2","5.6","11.1",".",".",".",".",".",".",".",".","11.1",".","."
"Hist SE Asia Since 1800","458","001","41","3.313","34.1","26.8","24.4","9.8",".","2.4","2.4",".",".",".",".",".",".",".",".","."
"American West Since 1850","462","001","108","3.545","39.8","25.0","14.8","4.6","0.9",".","0.9","9.3",".",".",".",".",".",".","4.6","."
"Topics in S Asian History","463","001","12","3.083","33.3","8.3","41.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","11","3.442","36.4","54.5",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Law & Society-Ancient Athens","477","001","26","3.500","38.5","38.5","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Paideia:Ed in Westrn Cultur","479","001","25","3.938","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","001","10","3.200","30.0","30.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","500","002","16","3.406","56.3","18.8","12.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","500","003","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","32","3.391","43.8","31.3","12.5","3.1","3.1","3.1","3.1",".",".",".",".",".",".",".",".","."
"The History of Punishment","501","001","30","3.217","13.3","40.0","30.0","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Europn State System 1914 on","532","001","37","3.216","10.8","43.2","37.8","5.4",".",".","2.7",".",".",".",".",".",".",".",".","."
"Multi-Racial Soc:Latin Amer","533","001","38","3.306","21.1","44.7","13.2","7.9","10.5",".",".","2.6",".",".",".",".",".",".",".","."
"History of Social Sciences","536","001","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","10","3.350","40.0","30.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","600","001","16","3.567","43.8","18.8","31.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","600","002","15","3.429","33.3","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".","6.7",".","."
"","600","003","17","3.500","29.4","52.9","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","600","004","12","3.318","50.0","8.3","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".","8.3"
"","600","005","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","14","3.571","50.0","14.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","008","14","3.571","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","009","15","3.533","40.0","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","010","14","3.750","64.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","011","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","013","10","3.050","40.0",".","30.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","600","014","15","3.600","40.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","600","015","15","3.067","13.3","26.7","33.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
