"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","320","002","","140","2.867","22.1",".","41.4","0.7","35.0",".",".","0.7",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","","Course Total","","255","2.935","22.0","10.2","35.3","4.3","24.3","2.4","0.8","0.4","0.4",".",".",".",".",".",".","."
"Appl Mathematical Analysis","321","001","","38","2.000","15.8","2.6","7.9","2.6","42.1","13.2","15.8",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","322","001","","24","3.313","41.7","12.5","20.8","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","340","001","","30","3.086","33.3","13.3","23.3","3.3","16.7","6.7",".",".",".",".",".",".",".","3.3",".","."
"","340","002","","35","2.957","34.3","5.7","22.9","14.3","14.3","5.7","2.9",".",".",".",".",".",".",".",".","."
"","340","003","","36","2.889","8.3","22.2","41.7","11.1","11.1","2.8","2.8",".",".",".",".",".",".",".",".","."
"","340","004","","41","3.268","14.6","48.8","24.4","4.9","4.9","2.4",".",".",".",".",".",".",".",".",".","."
"","340","005","","32","2.813","9.4","15.6","34.4","28.1","6.3","3.1","3.1",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","","Course Total","","174","3.012","19.5","22.4","29.3","12.1","10.3","4.0","1.7",".",".",".",".",".",".","0.6",".","."
"Basic Concepts of Math","371","001","","39","3.447","46.2","12.8","23.1","12.8","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Topics-Multi-Var Calc&Diff Eq","376","001","","24","3.000","54.2",".","12.5",".","16.7","12.5","4.2",".",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","421","001","","7","2.214",".","14.3","28.6",".","28.6","28.6",".",".",".",".",".",".",".",".",".","."
"","431","001","","36","3.056","19.4","5.6","47.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","431","002","","36","3.111","38.9","13.9","19.4","2.8","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","72","3.083","29.2","9.7","33.3","12.5","11.1","4.2",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","","12","2.875","16.7","8.3","41.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441","001","","14","2.893","28.6","7.1","42.9",".",".","21.4",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","25","3.740","68.0","20.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","21","3.167","28.6","14.3","42.9",".","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Intro to Splines and Wavelets","515","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ordinary Differentl Equations","519","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","001","","25","2.840","16.0","12.0","44.0","12.0","4.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"","521","002","","13","3.000","30.8",".","38.5",".","30.8",".",".",".",".",".",".",".",".",".",".","."
"","521","003","","12","2.458","16.7","8.3","25.0",".","33.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","50","2.790","20.0","8.0","38.0","6.0","18.0","6.0","4.0",".",".",".",".",".",".",".",".","."
"Advanced Calculus","522","001","","13","3.538","53.8","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","002","","7","3.357","42.9","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","541","001","","32","3.194","28.1","21.9","21.9","9.4","15.6",".",".",".",".",".",".",".",".",".",".","3.1"
"","541","002","","25","2.880","24.0","24.0","12.0","16.0","16.0",".","8.0",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","57","3.054","26.3","22.8","17.5","12.3","15.8",".","3.5",".",".",".",".",".",".",".",".","1.8"
"Modern Algebra","542","001","","10","2.813","30.0","10.0","20.0",".",".","10.0","10.0","10.0",".",".",".",".",".","10.0",".","."
"Elementary Topology","551","001","","31","3.355","54.8","19.4","9.7",".","9.7",".","6.5",".",".",".",".",".",".",".",".","."
"Elementary Number Theory","567","001","","13","3.250","38.5","23.1",".","7.7","23.1",".",".",".",".",".",".",".",".",".","7.7","."
"Intro-Measure & Integration","629","001","","17","3.500","47.1","5.9","35.3","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","24","2.542","16.7","16.7","25.0","8.3","8.3","16.7","8.3",".",".",".",".",".",".",".",".","."
"Intro-Brownian Motn&Stoch Calc","635","001","","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Algebra","642","001","","16","3.714","62.5","6.3","12.5","6.3",".",".",".","6.3",".",".",".",".",".","6.3",".","."
"Senior Honors Thesis","682","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 257 of 407",""
