"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"201
Survey of Biochemistry","001","","29","2.603","10.3","13.8","20.7","17.2","31.0","3.4","3.4",".",".",".",".",".",".",".",".","."
"289","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"299","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Introduction-Biochemistry","001","","309","3.106","25.6","13.6","35.6","9.4","12.9","1.6","0.3","0.3",".",".",".",".","0.3",".","0.3","."
"508
General Biochemistry II","001","","147","2.985","29.3","10.2","24.5","11.6","19.0","2.7","2.7",".",".",".",".",".",".",".",".","."
"511","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","003","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","","67","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Topics in Medical Biochem","001","","46","3.163","28.3","10.9","50.0",".","4.3","6.5",".",".",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","22","3.500","50.0","22.7","9.1","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"604
Chemical Biology","001","","20","3.575","40.0","40.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","42","3.183","19.0","28.6","31.0","11.9","4.8","2.4",".",".",".",".",".",".",".","2.4",".","."
"625
Coenzymes&Cofactrs-Enzymlgy","001","","15","3.433","33.3","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"651
Biochemical Methods","001","","55","3.300","29.1","18.2","40.0","9.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 12 of 407"
