"","990
078","","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","","4","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","",".",".",".",".","",".","",".","",".","48.3","3.4",".",".","48.3",".",".",".","."
"Advanced Independent Study","999
069","","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"C A V E
268","Dept. Total","","71","3.895","43.7","11.3","1.4",".","",".","",".","",".","19.7","1.4",".",".","19.7","2.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","3","3.833","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","","4","3.875","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","7","3.857","71.4","28.6",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","","63","3.920","41.3","7.9","1.6",".","",".","",".","",".","22.2","1.6",".",".","22.2","3.2",".",".","."
"","Dept. Total","","71","3.895","43.7","11.3","1.4",".","",".","",".","",".","19.7","1.4",".",".","19.7","2.8",".",".","."
