"TERM : 1054","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2004-2005","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","","",""
"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI
938","Dept. Total","1041","3.347","30.1","8.3","14.3","4.5","4.0","0.2","",".","38.0","",".",".","",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.250",".","50.0","50.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","2","3.250",".","50.0","50.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","","20","4.000","40.0",".",".",".",".",".","",".","40.0","",".",".","",".","20.0","",".",".",".","."
"Prof Yr 2","","166","3.732","59.0","13.3","19.9","4.2","2.4",".","",".",".","",".",".","",".","1.2","",".",".",".","."
"Prof Yr 3","","534","3.032","15.9","11.8","21.5","7.5","7.1","0.4","",".","35.8","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","319","4.000","38.2",".",".",".",".",".","",".","61.8","",".",".","",".",".","",".",".",".","."
"Professionals","","1039","3.347","30.1","8.2","14.2","4.5","4.0","0.2","",".","38.1","",".",".","",".","0.6","",".",".",".","."
"","Dept. Total","1041","3.347","30.1","8.3","14.3","4.5","4.0","0.2","",".","38.0","",".",".","",".","0.6","",".",".",".","."
