"L&S","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","4366","3.237","27.9","28.8","21.8","10.0","5.9","1.4","1.3","1.5","0.0","0.4","0.0","0.3","0.3","0.2","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","447","2.926","14.5","26.0","24.8","17.2","11.9","1.8","3.6",".",".",".",".",".","0.2",".",".","."
"Sophomore","","988","3.263","26.3","32.5","22.8","10.7","5.3","1.3","0.8","0.1","0.1",".",".",".",".","0.1",".","."
"Junior","","1057","3.309","28.6","32.0","23.3","8.9","4.3","0.8","1.0","0.6",".","0.3",".",".","0.1","0.2","0.1","."
"Senior","","1623","3.218","29.7","26.6","21.7","9.6","6.6","2.1","1.4","1.5",".","0.2","0.1",".","0.3","0.1","0.1","0.1"
"Undergraduates","","4115","3.219","27.0","29.3","22.7","10.5","6.2","1.5","1.4","0.8","0.0","0.1","0.0",".","0.2","0.1","0.1","0.0"
"Special","","30","3.387","16.7","33.3","13.3","6.7",".",".",".","13.3",".",".",".",".","6.7","3.3","6.7","."
"Graduate","","219","3.778","47.9","18.3","5.5","0.9",".",".",".","12.3",".","5.5",".","5.0","2.7","0.9","0.9","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","Dept. Total","4366","3.237","27.9","28.8","21.8","10.0","5.9","1.4","1.3","1.5","0.0","0.4","0.0","0.3","0.3","0.2","0.2","0.0"
