"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","142","3.121","28.2","12.0","40.1","6.3","9.2","0.7","2.8","0.7",".",".",".",".",".",".",".","."
"","101
002","75","3.162","21.3","33.3","25.3","9.3","2.7","5.3","1.3","1.3",".",".",".",".",".",".",".","."
"","101
003","63","3.341","30.2","39.7","14.3","6.3","6.3","3.2",".",".",".",".",".",".",".",".",".","."
"","101
004","71","2.836","7.0","19.7","32.4","21.1","15.5","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"","101
005","70","3.036","12.9","37.1","20.0","18.6","7.1","1.4","2.9",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","421","3.099","21.1","25.4","29.0","11.4","8.3","2.1","1.9","0.7",".",".",".",".",".",".",".","."
"","210
001","55","2.880","20.0","20.0","20.0","10.9","20.0","5.5","1.8","1.8",".",".",".",".",".",".",".","."
"","210
002","75","2.927","20.0","13.3","33.3","9.3","20.0","2.7","1.3",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","130","2.907","20.0","16.2","27.7","10.0","20.0","3.8","1.5","0.8",".",".",".",".",".",".",".","."
"","211
001","76","2.870","19.7","23.7","15.8","14.5","10.5","9.2","2.6","1.3","2.6",".",".",".",".",".",".","."
"","211
002","72","2.201","20.8","8.3","11.1","9.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","148","2.538","20.3","16.2","13.5","12.2","13.5","12.8","9.5","0.7","1.4",".",".",".",".",".",".","."
"","241
001","75","3.067","20.0","22.7","34.7","9.3","9.3","1.3","2.7",".",".",".",".",".",".",".",".","."
"","241
003","76","3.074","25.0","19.7","26.3","10.5","11.8","1.3","2.6","2.6",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","151","3.070","22.5","21.2","30.5","9.9","10.6","1.3","2.6","1.3",".",".",".",".",".",".",".","."
"","341
001","77","3.000","16.9","26.0","23.4","20.8","5.2","5.2","1.3","1.3",".",".",".",".",".",".",".","."
"","341
002","78","3.084","9.0","32.1","37.2","12.8","5.1","2.6",".","1.3",".",".",".",".",".",".",".","."
"","341
003","22","3.091","31.8","9.1","36.4","9.1","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","341
093","23","3.478","34.8","34.8","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","224","3.185","24.1","26.8","26.8","13.4","4.5","2.7","0.9","0.9",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","430
001","41","3.768","56.1","41.5","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","65","3.192","29.2","27.7","20.0","13.8","3.1","4.6","1.5",".",".",".",".",".",".",".",".","."
"French Philos-Existentialsm","440
001","72","2.971","19.4","20.8","23.6","12.5","15.3","5.6",".","2.8",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","53","3.208","39.6","15.1","24.5","7.5","7.5","1.9","3.8",".",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","30","3.370","23.3","30.0","26.7","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","60","3.391","28.3","30.0","28.3","1.7","1.7",".","1.7","8.3",".",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","16","3.125","25.0","25.0","18.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"Symbolic Logic","511
001","22","3.575","54.5","13.6","18.2",".",".","4.5",".","9.1",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","19","3.342","31.6","36.8","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524
001","20","3.200","20.0","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Philosophies of Ed","540
001","19","3.412","57.9","21.1",".",".",".",".","10.5","5.3",".",".",".",".","5.3",".",".","."
"Modern Ethical Theories","541
001","21","3.100","14.3","33.3","33.3","4.8","4.8",".","4.8",".",".",".",".",".",".",".","4.8","."
"Political Philosophy","555
001","25","3.560","48.0","40.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","25","3.146","20.0","24.0","28.0","12.0","12.0",".",".","4.0",".",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Seminar","582
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 276 of 407",""
