"320
E C E","","","","","","","","","","","","","","","","","","","",""
"","999
054","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
062","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"E C E
320","Dept. Total","2429","3.273","35.9","21.0","18.3","5.9","4.6","2.4","1.2","7.9","0.2","0.2","",".","2.0","0.2","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.200","50.0",".","50.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","157","3.091","39.5","22.9","13.4","10.8","3.8","4.5","1.3","3.8",".",".","",".",".",".",".",".","."
"Junior","","506","3.215","39.1","21.9","19.0","6.7","6.3","3.2","1.4","1.8","0.6",".","",".",".",".",".",".","."
"Senior","","1140","3.163","34.1","23.1","23.2","7.7","6.1","3.2","1.6","0.5","0.1","0.1","",".",".","0.1","0.3",".","."
"Undergraduates","","1805","3.172","36.0","22.7","21.2","7.7","6.0","3.3","1.5","1.2","0.2","0.1","",".",".","0.1","0.2",".","."
"Special","","34","3.744","64.7","8.8","11.8",".","2.9",".",".","2.9",".","2.9","",".",".","5.9",".",".","."
"Graduate","","656","3.667","30.8","14.8","8.8","0.6","0.3",".","0.2","25.8",".","10.4","",".","7.5","0.3",".","0.6","."
"","Dept. Total","2495","3.273","35.0","20.4","17.8","5.7","4.4","2.4","1.1","7.7","0.2","2.8","",".","2.0","0.2","0.1","0.2","."
