"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","103","001","420","3.452","37.6","37.4","16.7","2.4","3.1","1.0","1.7","0.2",".",".",".",".",".",".",".","."
"","103","002","108","3.586","42.6","46.3","4.6","0.9",".",".","2.8","1.9",".",".",".",".","0.9",".",".","."
"Intro-Internatl Relations","","Course Total","528","3.479","38.6","39.2","14.2","2.1","2.5","0.8","1.9","0.6",".",".",".",".","0.2",".",".","."
"Intro-Amer Politcs&Governmt","104","001","582","2.888","13.6","20.3","25.1","23.0","13.6","2.1","1.9","0.2","0.2",".",".",".",".","0.2",".","."
"Intro-Comparative Politics","106","001","361","3.276","21.6","34.6","30.2","9.4","1.9","1.1","0.8",".",".",".",".",".",".",".","0.3","."
"Topics in Polit Anal-Honors","181","001","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to American Politics","184","001","21","3.167","23.8","28.6","28.6","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","199","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to Political Theory","209","001","332","3.155","14.8","33.7","29.5","14.8","3.0","0.3","1.8","1.8",".",".",".",".","0.3",".",".","."
"Law, Politics and Society","217","001","55","3.455","30.9","40.0","23.6","3.6",".","1.8",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","218","001","17","3.265","23.5","17.6","52.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","219","001","83","3.051","14.5","20.5","37.3","13.3","7.2","1.2","1.2","3.6",".",".",".",".","1.2",".",".","."
"Intro to East Asian Civ","222","001","31","3.758","77.4","9.7","6.5",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","19","2.974","10.5","31.6","31.6","15.8",".","10.5",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","55","3.638","47.3","34.5","14.5",".","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"Intro to Political Psych","267","001","83","2.864","18.1","32.5","15.7","10.8","8.4","2.4","9.6","2.4",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","48","3.130","31.3","14.6","27.1","2.1","16.7","4.2",".","4.2",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","165","3.373","26.1","40.0","20.6","9.1","1.2",".","1.2","1.2",".",".",".",".",".",".","0.6","."
"","313","001","11","3.227","9.1","45.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","313","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bargaining in Global Econmy","","Course Total","13","3.329","15.4","46.2","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","338","001","56","3.201","33.9","25.0","10.7","19.6","7.1","1.8","1.8",".",".",".",".",".",".",".",".","."
"Japan in the World","342","001","48","3.426","41.7","25.0","18.8",".","12.5",".",".","2.1",".",".",".",".",".",".",".","."
"Study Abroad-Pol Sci:Intnl Rel","390","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","400","001","32","3.823","78.1","3.1","15.6",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"","401","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","001","16","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","13","3.292","46.2","23.1","7.7",".","7.7",".","7.7","7.7",".",".",".",".",".",".",".","."
"","401","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","32","3.403","28.1","46.9","15.6",".","3.1",".","3.1","3.1",".",".",".",".",".",".",".","."
"Amer Politics & Government","404","001","155","3.145","20.6","28.4","23.9","16.8","6.5","1.9","0.6",".",".",".",".",".","0.6","0.6",".","."
"Constitutional Law","412","001","250","3.285","18.8","43.6","22.0","7.6","4.4","1.6","0.4","1.6",".",".",".",".",".",".",".","."
"Legislative Process","426","001","46","3.375","23.9","34.8","30.4","2.2","4.3",".",".",".",".",".",".",".","2.2","2.2",".","."
"Legislative Internship","427","001","28","3.375","21.4","39.3","32.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Public Administration","443","001","59","3.407","39.0","28.8","18.6","5.1","6.8","1.7",".",".",".",".",".",".",".",".",".","."
"Criminal Law and Justice","452","001","267","2.910","21.7","14.2","23.2","16.9","15.4","6.4","0.4","1.9",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","462","001","14","2.962","42.9","21.4","7.1",".",".","7.1","14.3",".",".",".",".",".",".",".","7.1","."
"Dev Mod West Pol Thought","502","001","57","3.652","59.6","24.6","8.8","1.8","1.8",".","1.8",".",".",".",".",".",".",".",".","1.8"
