"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"PE ACTIV
Dept. Total
740","2196","3.306","34.0","18.4","10.1","3.4","4.2","1.6","1.1","25.8","0.2",".","",".","",".","0.2","0.4","0.6","0.0"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","204","2.841","27.5","18.6","20.1","7.4","15.7","5.9","1.5","2.5",".",".","",".","",".",".","1.0",".","."
"Sophomore","357","3.141","39.5","19.9","12.9","7.3","8.7","3.4","0.8","7.3",".",".","",".","",".",".",".","0.3","."
"Junior","336","3.413","44.3","17.3","11.0","2.4","3.6","1.2","1.2","18.8",".",".","",".","",".",".","0.3",".","."
"Senior","948","3.560","36.6","20.7","7.6","2.0","1.4","0.3","1.1","29.6","0.2",".","",".","",".","0.3","0.1","0.1","."
"Undergraduates","1845","3.306","37.6","19.7","10.6","3.7","4.8","1.7","1.1","20.3","0.1",".","",".","",".","0.2","0.2","0.1","."
"Special","124","2.989","11.3","9.7","4.8","2.4",".","1.6","3.2","54.8",".",".","",".","",".","0.8","1.6","9.7","."
"Graduate","197","3.464","17.8","12.2","8.1","1.5","1.5","1.0",".","54.8","1.0",".","",".","",".","0.5","1.0",".","0.5"
"Prof Yr 1","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","7","3.125","14.3","14.3","14.3",".","14.3",".",".","42.9",".",".","",".","",".",".",".",".","."
"Prof Yr 3","18","3.625","22.2","5.6","11.1",".",".",".",".","61.1",".",".","",".","",".",".",".",".","."
"Prof Yr 4","3","3.500",".","33.3",".",".",".",".",".","66.7",".",".","",".","",".",".",".",".","."
"Professionals","30","3.433","16.7","13.3","13.3",".","3.3",".",".","53.3",".",".","",".","",".",".",".",".","."
"Dept. Total","2196","3.306","34.0","18.4","10.1","3.4","4.2","1.6","1.1","25.8","0.2",".","",".","",".","0.2","0.4","0.6","0.0"
