"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"902
Practicum: Supervision","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"926
Leg&Ethicl Base-Couns Psych","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Rsch-Indiv Intervention","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"952
Rsch: Group Intervention","001","","6","3.906","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","15","",".",".",".",".",".",".",".","60.0",".",".",".",".","40.0",".",".","."
"990","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","52","",".",".",".",".",".",".",".","75.0",".",".",".","13.5","11.5",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
