"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","","74","2.746","6.8","17.6","21.6","25.7","23.0",".","1.4","2.7",".",".",".",".","1.4",".",".","."
"Landscape Invntry&Eval Meth","262","001","","34","3.382","41.2","11.8","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Land Arc Workshop","270","001","","9","3.429","33.3","11.1","22.2","11.1",".",".",".","22.2",".",".",".",".",".",".",".","."
"Independent Studies","299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","312","001","","18","3.444","27.8","38.9","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","312","002","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphics for Designers","","Course Total","","33","3.576","39.4","39.4","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Housing and Urban Design","351","001","","20","3.600","35.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Technology I","353","001","","21","3.619","57.1","23.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Open Space Planning&Design","451","001","","20","3.250","15.0","35.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Project in Land Arc","551","001","","21","3.000","33.3","14.3","14.3","14.3","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Landscape Ecology","565","001","","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","","8","2.688",".","37.5","37.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Landscape Arch","740","001","","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","7","3.900","57.1","14.3",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
