"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Principles of Statistics","201
001","49","2.602","26.5","4.1","26.5","2.0","24.5","6.1","10.2",".",".",".",".",".",".",".",".","."
"","224
001","76","2.717","15.8","19.7","18.4","10.5","27.6","2.6","5.3",".",".",".",".",".",".",".",".","."
"","002
224","72","2.681","18.1","9.7","27.8","15.3","13.9","12.5","2.8",".",".",".",".",".",".",".",".","."
"","224
003","91","2.626","15.4","9.9","24.2","12.1","27.5","8.8","2.2",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","239","2.672","16.3","13.0","23.4","12.6","23.4","7.9","3.3",".",".",".",".",".",".",".",".","."
"","301
001","81","2.500","22.2","3.7","28.4","2.5","23.5","9.9","9.9",".",".",".",".",".",".",".",".","."
"","002
301","87","2.885","21.8","26.4","13.8","12.6","14.9","5.7","4.6",".",".",".",".",".",".",".",".","."
"","301
003","90","3.133","33.3","24.4","15.6","8.9","8.9","7.8","1.1",".",".",".",".",".",".",".",".","."
"","301
004","103","3.167","32.0","12.6","33.0","6.8","11.7","1.9","1.0","1.0",".",".",".",".",".",".",".","."
"","301
005","87","2.839","25.3","8.0","27.6","17.2","11.5","5.7","4.6",".",".",".",".",".",".",".",".","."
"","301
006","83","2.825","27.7","7.2","27.7","13.3","13.3","3.6","7.2",".",".",".",".",".",".",".",".","."
"","301
007","102","3.084","27.5","6.9","39.2","9.8","14.7",".","1.0","1.0",".",".",".",".",".",".",".","."
"","008
301","30","2.717","23.3","10.0","16.7","6.7","33.3","10.0",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","663","2.924","27.1","12.7","26.4","10.0","14.8","5.0","3.8","0.3",".",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","25","3.260","36.0","36.0","8.0",".","12.0","8.0",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","60","2.784","25.0","1.7","31.7","10.0","20.0","3.3","5.0",".",".",".",".",".","1.7","1.7",".","."
"Intro to Mathematical Stat","312
001","43","3.209","25.6","30.2","11.6","25.6","7.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","36","2.889","11.1","19.4","30.6","19.4","16.7","2.8",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","22","3.714","68.2","13.6","4.5","4.5","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"Intro Nonparametric Stats","351
001","22","3.273","45.5","9.1","18.2","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","371
001","105","3.229","32.4","22.9","19.0","13.3","10.5","1.9",".",".",".",".",".",".",".",".",".","."
"","371
002","89","2.674","13.5","16.9","23.6","19.1","12.4","11.2","3.4",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","194","2.974","23.7","20.1","21.1","16.0","11.3","6.2","1.5",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","24","3.304","33.3","29.2","12.5","12.5","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","4","***","","","","","","","","","","","","","","","",""
"Intro to Biostats for Phamacy","441
001","128","3.559","53.9","11.7","29.7","0.8","2.3","0.8",".",".",".",".",".",".",".","0.8",".","."
"Appl Multivariate Analysis","456
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials","542
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","73","3.486","28.8","39.7","26.0","2.7",".",".",".","2.7",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","26","3.750","61.5","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","24","3.587","50.0","20.8","16.7","8.3",".",".",".",".",".",".",".",".",".","4.2",".","."
"","699
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
092","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
165","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
256","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 314 of 407",""
