"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"609
Iss & Probs-Cont & Voc Educ","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Foundations of Educ for Work","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Designing Educ-Work Curricula","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","3","***","","","","","","","","","","","","","","","",""
"742
Facilitating Adult Learning","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"746
Adult Learner:Implictn for C&I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"750
Eval-Cont Education Progrms","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Anal&Develp-Adlt Ed Philos","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","074","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","",".",".",".",".",".",".",".","48.3","3.4",".",".","48.3",".",".",".","."
"999
Advanced Independent Study","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"C A V E
268","Dept. Total","","71","3.895","43.7","11.3","1.4",".",".",".",".","19.7","1.4",".",".","19.7","2.8",".",".","."
