"PHYSICAL EDUC ACTIVITY PRO Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","","",""
"Weight Training II","232","001","","23","3.500","21.7","43.5","21.7",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Power Skating","244","001","","23","3.528","30.4","26.1","17.4","4.3",".",".",".","21.7",".",".",".",".",".",".",".","."
"","262","001","","18","3.042","33.3","16.7",".",".","5.6",".","11.1","33.3",".",".",".",".",".",".",".","."
"","262","002","","17","3.300","11.8","23.5","11.8","11.8",".",".",".","41.2",".",".",".",".",".",".",".","."
"","262","003","","15","3.611","26.7","20.0","13.3",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Tennis II","","Course Total","","50","3.290","24.0","20.0","8.0","4.0","2.0",".","4.0","38.0",".",".",".",".",".",".",".","."
"Racquetball II","263","001","","10","3.750","30.0","30.0",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Basketball II","270","001","","24","3.526","33.3","20.8","20.8","4.2",".",".",".","20.8",".",".",".",".",".",".",".","."
"Soccer II","273","001","","31","3.827","77.4","3.2",".",".",".",".","3.2","12.9",".",".",".",".",".","3.2",".","."
"","275","001","","33","3.433","48.5","12.1","12.1","6.1","12.1",".",".","9.1",".",".",".",".",".",".",".","."
"","275","002","","35","3.607","42.9","22.9","5.7","5.7","2.9",".",".","20.0",".",".",".",".",".",".",".","."
"Volleyball II","","Course Total","","68","3.517","45.6","17.6","8.8","5.9","7.4",".",".","14.7",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","21","3.711","61.9","14.3","9.5",".","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"Bicycling","295","001","","15","3.667","46.7","13.3","20.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","300","001","","12","3.500","75.0","8.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","300","002","","23","3.692","34.8","13.0","4.3","4.3",".",".",".","43.5",".",".",".",".",".",".",".","."
"","300","003","","19","4.000","78.9",".",".",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"","300","004","","13","3.500","15.4","61.5",".","7.7",".",".",".","15.4",".",".",".",".",".",".",".","."
"Workshop-Physical Activity","","Course Total","","67","3.696","50.7","17.9","1.5","4.5",".",".","1.5","23.9",".",".",".",".",".",".",".","."
"Swim Endur&Stroke Proficncy","301","001","","21","3.806","52.4","33.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Aquatic Conditioning","303","001","","23","3.528","26.1","30.4","21.7",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308","001","","18","3.700","44.4","27.8","11.1",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Water Safety Instructor","310","001","","20","3.711","45.0","45.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Lifeguard Training Renewal","313","001","","10","3.750","40.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".","10.0","."
"Topics in Martial Arts","318","001","","16","3.536","43.8","18.8","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Triathlon Training","330","001","","30","3.438","3.3","16.7","6.7",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"Tennis III","362","001","","18","3.625","27.8","27.8","11.1",".",".",".",".","33.3",".",".",".",".",".",".",".","."
