"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","58","2.904","17.2","12.1","34.5","13.8","17.2","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"215","002","","124","2.915","9.7","20.2","39.5","11.3","16.9","1.6","0.8",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","182","2.912","12.1","17.6","37.9","12.1","17.0","1.6","1.1","0.5",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"306
The Real Estate Process","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"322
Commodity Markets","001","","57","2.553","10.5","1.8","33.3","7.0","42.1","5.3",".",".",".",".",".",".",".",".",".","."
"344
Environment&Global Economy","001","","39","2.872","23.1","17.9","23.1","2.6","25.6","5.1","2.6",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","32","3.565","40.6","31.3","21.9","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"375","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","6","3.553","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","7","3.575","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"421
Econ Analysis-Agric Markets","001","","13","2.808","30.8","23.1","15.4",".","7.7","15.4","7.7",".",".",".",".",".",".",".",".","."
"474
Econ Probs-Developing Areas","001","","17","3.031","41.2","5.9","17.6",".","17.6","11.8",".","5.9",".",".",".",".",".",".",".","."
"477
Agri & Econ Development-Africa","001","","14","3.571","85.7",".",".",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"500
Senior Capstone Experience","001","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","6","3.000","16.7","16.7",".","16.7","16.7",".",".",".",".",".",".",".","33.3",".",".","."
"567
Pub Finance-Less Dev Cntry","001","","13","3.462","53.8","30.8","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"636
Applied Econometric Anal","001","","17","3.429","17.6","35.3","29.4",".",".",".",".","11.8",".",".",".",".","5.9",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.800","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"705
Applied Microeconomics","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Institutional Economics","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729
Microdynamics-Envir&Developmt","001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Environmental Economics","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 1 of 407"
