"Tech:Computer-Based Bus Sys","371
001","","23","3.152","26.1","39.1","8.7","8.7","13.0",".","","4.3",".","",".","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","10","3.450","10.0","70.0","20.0",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar in Information Systems","872
001","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INFO SYS
234","Dept. Total","","39","3.346","30.8","43.6","10.3","5.1","7.7","",".","2.6","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.500",".","100.0",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","2.958","8.3","50.0","16.7","8.3","8.3","",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","17","3.441","29.4","47.1","11.8","5.9","5.9","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","30","3.250","20.0","50.0","13.3","6.7","6.7","",".","3.3","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","3.167","33.3","33.3",".",".","33.3","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","6","3.917","83.3","16.7",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","39","3.346","30.8","43.6","10.3","5.1","7.7","",".","2.6","",".","",".",".","",".","",".","",".",".",".","."
