"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.900","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"302
Dy Cattle Husbandry Practicum","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","14","2.607","14.3","14.3","14.3","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","11","2.818","18.2","18.2","27.3",".","27.3","9.1",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"414
Ruminant Nutrition","001","","20","2.975","15.0","25.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"433
Dairy Herd Management","001","","19","3.079","26.3","26.3","5.3","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","15","2.500",".","6.7","26.7","26.7","40.0",".",".",".",".",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"799
Pract-Dairy Science Tchng","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","004","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","43","3.955","46.5","4.7",".",".",".",".",".","48.8",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"950
Seminar in Animal Genomics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
