"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Rheology of Foods&Biomaterials","Course Total","","12","3.000","8.3","25.0","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"444
Design Problems-Elasticity","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"446
Automatic Controls","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"447","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"447","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","Course Total","","12","3.208","33.3","25.0","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"448
Mechanical Systems Analysis","001","","12","3.682","33.3","58.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"461
Thermal Systems Modeling","001","","12","3.333","25.0","25.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"466
Air Pollutn-Measure&Control","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","7","2.857","14.3","14.3","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"489","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"491","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","13","3.790","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","26","3.877","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"492
Mech Engr Projects II","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"508","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composite Materials","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","8","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"545
Fluid Power","001","","9","3.167","22.2","33.3","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"558
Intro-Computationl Geometry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","22","3.432","18.2","54.5","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"572
Intermediate Gas Dynamics","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Computational Fluid Dynamcs","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","40","3.375","20.0","37.5","40.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 133 of 407",""
