"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Emplymnt/El&Sec Schl Pupils","313","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","502","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700","047","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","002","","14","3.643","85.7",".","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilitating Adult Learning","742","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prblms-Coll&Universty Admin","815","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","12","3.944","66.7","8.3",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Financng Elem&Secondry Educ","830","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadershp-Inclusive Schling","835","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The School Principalship","845","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Superintendency","846","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","847","001","","17","3.875","82.4",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","847","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadershp&Schl Improv","","Course Total","","29","3.929","89.7",".","6.9",".",".",".",".",".",".",".",".",".",".",".",".","3.4"
"Org Theory&Behavior in Educ","860","001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-College&Universitry Adm","915","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","002","","19","3.737","68.4","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","007","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","60","3.896","88.3","6.7","3.3","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","10","",".",".",".",".",".",".",".","30.0",".",".",".","70.0",".",".",".","."
"","990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","15","",".",".",".",".",".",".",".","86.7",".",".",".","13.3",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","8","",".",".",".",".",".",".",".","50.0","12.5",".",".","37.5",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","","Page 90 of 407"
