"Humanities Topics","560
001","9","3.500","22.2","66.7",".","11.1",".","",".",".",".",".","",".",".","",".","",".",".",".","."
"","662
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","662
002","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Mass Media and Minorities","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"ASIAN AM
184","Dept. Total","101","3.466","32.7","33.7","15.8","3.0","2.0","",".","1.0","10.9","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","3.100",".","20.0","80.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","13","3.238","30.8","30.8","30.8",".",".","",".","7.7",".","",".",".","",".","",".",".",".",".","."
"Junior","","23","3.664","34.8","52.2","4.3",".",".","",".",".","4.3","",".",".","",".","",".","4.3",".",".","."
"Senior","","60","3.478","35.0","28.3","11.7","5.0","3.3","",".",".","16.7","",".",".","",".","",".",".",".",".","."
"Undergraduates","","101","3.466","32.7","33.7","15.8","3.0","2.0","",".","1.0","10.9","",".",".","",".","",".","1.0",".",".","."
"","Dept. Total","101","3.466","32.7","33.7","15.8","3.0","2.0","",".","1.0","10.9","",".",".","",".","",".","1.0",".",".","."
