"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","11
001","","18","3.833","61.1","16.7","5.6",".",".",".",".","11.1",".",".",".",".",".","5.6",".","."
"","11
002","","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","","34","3.917","76.5","8.8","2.9",".",".",".",".","8.8",".",".",".",".",".","2.9",".","."
"Modern Dance Technique II","112
001","","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","","17","3.294","23.5","35.3","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","161
001","","24","3.604","37.5","54.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","177
001","","21","3.868","66.7","23.8",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","177
002","","19","4.000","78.9",".",".",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"African Dance","Course Total","","40","3.926","72.5","12.5",".",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"Dance","205
001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21
001","","21","3.719","42.9","28.6",".","4.8",".",".",".","23.8",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211
001","","14","3.500","35.7","28.6","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212
001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"New Movement Techniques","213
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet II","22
001","","16","3.893","68.8","18.8",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Ballet Technique II-B","226
001","","12","3.000","25.0","16.7","8.3","16.7",".",".","8.3","25.0",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231
001","","14","3.846","78.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"","255
001","","8","3.313","37.5","25.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","255
002","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","Course Total","","15","3.333","40.0","20.0","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Dance: An Intro Survey","265
001","","14","3.071","21.4","35.7","7.1","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","31
001","","24","3.773","66.7","16.7","4.2",".","4.2",".",".","8.3",".",".",".",".",".",".",".","."
"","31
002","","26","3.674","53.8","19.2","11.5",".","3.8",".",".","11.5",".",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","","50","3.722","60.0","18.0","8.0",".","4.0",".",".","10.0",".",".",".",".",".",".",".","."
"Modern Dance Technique VI","312
001","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325
001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Dance for Children","371
001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","25","3.609","92.0","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","41
001","","43","3.691","39.5","30.2","9.3",".",".",".",".","20.9",".",".",".",".",".",".",".","."
"","41
002","","36","3.788","63.9","19.4","5.6","2.8",".",".",".","8.3",".",".",".",".",".",".",".","."
"","41
003","","38","3.576","21.1","57.9","7.9",".",".",".",".","13.2",".",".",".",".",".",".",".","."
"","41
004","","36","3.600","16.7","50.0","2.8",".",".",".",".","30.6",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 100 of 407",""
