"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Surgery Fundamentals","544","001","","82","3.957","92.7","6.1","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology I","545","001","","82","3.280","26.8","20.7","39.0","8.5","4.9",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology II","546","001","","75","3.000","9.3","21.3","44.0","10.7","14.7",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631","001","","74","2.716","9.5","8.1","35.1","16.2","28.4","2.7",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638","001","","75","3.287","20.0","30.7","38.7","8.0","2.7",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","642","001","","39","4.000","15.4",".",".",".",".",".",".","84.6",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","23","4.000","4.3",".",".",".",".",".",".","95.7",".",".",".",".",".",".",".","."
"","645","001","","40","4.000","47.5",".",".",".",".",".",".","52.5",".",".",".",".",".",".",".","."
"","645","002","","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","","Course Total","","52","4.000","46.2",".",".",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646","001","","30","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","18","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675","002","","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","004","","15","4.000","46.7",".",".",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"","675","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","008","","7","4.000","14.3",".",".",".",".",".",".",".",".",".",".","85.7",".",".",".","."
"","675","010","","39","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","78","4.000","17.9",".",".",".",".",".",".","74.4",".",".",".","7.7",".",".",".","."
"Special Species Health","676","001","","75","3.133","16.0","24.0","36.0","18.7","5.3",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677","001","","49","4.000","89.8",".",".",".",".",".",".","10.2",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","15","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","3.700","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741","001","","31","4.000","45.2",".",".",".",".",".",".","54.8",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744","001","","14","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750","001","","20","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Large Animal Radiol Elective","751","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Radiol Elective","752","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","002","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","","Course Total","","35","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
