"","E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","","62","3.400","41.9","29.0","12.9","6.5","1.6","1.6","3.2","3.2",".",".",".",".",".",".",".","."
"Second Semester Japanese","104","001","","95","3.084","20.0","26.3","26.3","11.6","13.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","","16","3.656","37.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121","001","","21","3.861","66.7","14.3","4.8",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","121","002","","18","3.906","77.8","5.6","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","","39","3.882","71.8","10.3","5.1",".",".",".",".","12.8",".",".",".",".",".",".",".","."
"","123","001","","22","3.500","50.0","18.2","13.6","4.5","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"","123","002","","27","3.438","40.7","18.5","11.1","14.8","3.7",".",".","11.1",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","","49","3.467","44.9","18.4","12.2","10.2","6.1",".",".","8.2",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","","17","3.594","52.9","23.5","5.9","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","","45","3.146","13.3","40.0","15.6","8.9","11.1","2.2",".","4.4",".",".",".",".",".","4.4",".","."
"Intro-Japanese Culture&Civ","253","002","","67","2.826","10.4","22.4","23.9","20.9","14.9","4.5","1.5",".",".",".",".",".",".","1.5",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","22","3.682","68.2","18.2","9.1",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","001","","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","","16","3.625","56.3","25.0","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","","20","3.734","60.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0","."
"Sixth Semester Japanese","304","001","","9","3.111","11.1","44.4","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","312","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","","6","3.314","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"I-Ching-Book of Change","340","001","","18","3.375","44.4","27.8","11.1","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","","21","3.667","57.1","28.6","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bus Japanese Communication","377","001","","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","","11","3.364","18.2","54.5","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chinese Ling","432","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pop Culture & Film-20 C China","520","001","","21","3.595","57.1","19.0","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"History-Chinese Literature","652","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","3.861","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Historical Texts","761","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 196 of 407",""
