"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"General Physics","103","001","322","2.872","15.2","22.0","18.9","14.6","27.0",".","1.6","0.3","0.3",".",".",".",".",".",".","."
"","104","001","296","2.902","18.2","22.3","16.2","15.5","24.0","3.7",".",".",".",".",".",".",".",".",".","."
"","104","002","175","2.724","13.1","18.9","16.6","14.3","30.9","5.1","0.6",".",".",".",".",".",".","0.6",".","."
"General Physics","","Course Total","471","2.836","16.3","21.0","16.3","15.1","26.5","4.2","0.2",".",".",".",".",".",".","0.2",".","."
"","109","001","90","2.861","13.3","15.6","30.0","16.7","23.3",".","1.1",".",".",".",".",".",".",".",".","."
"","109","002","74","2.932","14.9","16.2","24.3","32.4","9.5",".","1.4","1.4",".",".",".",".",".",".",".","."
"Physics in the Arts","","Course Total","164","2.893","14.0","15.9","27.4","23.8","17.1",".","1.2","0.6",".",".",".",".",".",".",".","."
"Energy","115","001","61","3.557","36.1","42.6","19.7",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"General Physics","201","001","234","3.064","9.8","29.9","37.2","14.5","7.3",".","1.3",".",".",".",".",".",".",".",".","."
"","202","001","150","2.810","10.0","18.0","24.7","28.0","16.7","0.7","2.0",".",".",".",".",".",".",".",".","."
"","202","002","163","2.975","17.2","15.3","30.1","21.5","15.3","0.6",".",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","313","2.896","13.7","16.6","27.5","24.6","16.0","0.6","1.0",".",".",".",".",".",".",".",".","."
"General Physics","207","001","164","2.973","18.3","15.9","31.7","14.0","18.9","0.6","0.6",".",".",".",".",".",".",".",".","."
"General Physics","208","001","175","2.946","17.1","16.6","24.6","30.9","7.4","2.3","1.1",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","59","3.542","45.8","28.8","16.9","5.1","3.4",".",".",".",".",".",".",".",".",".",".","."
"Modern Physics","244","001","53","2.849","17.0","9.4","30.2","13.2","30.2",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248","001","30","3.200","56.7","3.3","20.0","3.3","3.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265","001","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Physics Today","301","001","35","3.700","62.9","31.4","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","308","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","308","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308","004","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","","Course Total","30","3.850","73.3","23.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311","001","60","3.067","31.7","11.7","20.0","25.0","5.0","6.7",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322","001","51","2.804","17.6","25.5","15.7","13.7","17.6","3.9","5.9",".",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325","001","24","2.875","25.0","16.7","29.2","8.3","8.3","4.2","8.3",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","407","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449","001","14","3.143","21.4","21.4","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","498","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","499","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527","001","10","3.300","20.0","40.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Quantum Mechanics","531","001","27","3.704","85.2",".","7.4",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Lasers","546","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid State Physics","551","001","19","3.778","52.6","42.1",".",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Microscopy of Life","619","001","9","3.444","44.4","33.3",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Applied Optics","625","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 279 of 407",""
