"Intro to Clinical Trials","542
001","","19","3.917","78.9","15.8","",".",".","","",".",".","",".","",".",".","",".",".","",".","",".","","5.3",".","."
"Advanced Bioinformatics","776
001","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Computn&Informatcs in Biol&Med","915
001","","9","4.000","22.2",".","",".",".","","",".",".","",".","","77.8",".","",".",".","",".","",".","",".",".","."
"B M I
210","Dept. Total","","29","3.924","62.1","10.3","",".","",".","",".","",".","",".","24.1","",".",".","",".","",".","",".","3.4",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","2","3.750","50.0","50.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","3.750","50.0","50.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","9","4.000","66.7",".","",".","",".","",".","",".","",".","22.2","",".",".","",".","",".","",".","11.1",".","."
"Graduate","","","17","3.906","58.8","11.8","",".","",".","",".","",".","",".","29.4","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","29","3.924","62.1","10.3","",".","",".","",".","",".","",".","24.1","",".",".","",".","",".","",".","3.4",".","."
