"","990
083","","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
085","","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","","28","",".",".",".",".",".","",".","",".","92.9","",".",".",".","7.1","",".",".",".","."
"M&ENVTOX
362","Dept. Total","","94","3.412","20.2","4.3","8.5","4.3","3.2","",".","",".","56.4","",".",".",".","2.1","",".",".","1.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","2.750",".","25.0","25.0","25.0","25.0","",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","","5","3.111","40.0",".","20.0","40.0",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","","17","3.464","47.1","5.9","23.5","5.9","11.8","",".","",".","5.9","",".",".",".",".","",".",".",".","."
"Undergraduates","","","26","3.267","38.5","7.7","23.1","15.4","11.5","",".","",".","3.8","",".",".",".",".","",".",".",".","."
"Special","","","7","3.833","42.9",".","14.3",".",".","",".","",".","28.6","",".",".",".",".","",".",".","14.3","."
"Graduate","","","61","3.647","9.8","3.3","1.6",".",".","",".","",".","82.0","",".",".",".","3.3","",".",".",".","."
"","Dept. Total","","94","3.412","20.2","4.3","8.5","4.3","3.2","",".","",".","56.4","",".",".",".","2.1","",".",".","1.1","."
