"","922
044","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","922
046","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Radiation Oncology-CSC","Course Total","","16","3.917","93.8","",".","",".","6.3","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Rsch in Human Cancer Bio","990
022","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"H ONCOL
480","Dept. Total","","23","3.940","91.3","",".","",".","4.3","",".","",".","",".","",".","",".",".","",".","4.3","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","","9","3.833","77.8","",".","",".","11.1","",".","",".","",".","",".","",".",".","",".","11.1","",".",".",".","."
"Prof Yr 4","","","9","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Professionals","","","18","3.921","88.9","",".","",".","5.6","",".","",".","",".","",".","",".",".","",".","5.6","",".",".",".","."
"","Dept. Total","","23","3.940","91.3","",".","",".","4.3","",".","",".","",".","",".","",".",".","",".","4.3","",".",".",".","."
