"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"775
Stdys-Japanese Linguistics","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading for Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"932
Smr-Chinese Linguistics","001","","8","3.912","62.5","12.5",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"951
Smr-Chinese Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"971
Seminar in Chinese Thought","001","","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"999
Independent Research","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E ASIAN
295","Dept. Total","","661","3.378","40.4","25.6","14.1","7.1","5.7","1.1","0.8","3.5",".","0.2",".","0.2","0.9","0.5","0.2","."
