"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"101
General Microbiology","001","","226","2.742","11.5","17.3","25.2","19.9","18.1","4.9","2.7",".","0.4",".",".",".",".",".",".","."
"102","001","","31","3.581","45.2","29.0","22.6","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","31","3.367","35.5","29.0","12.9","9.7","9.7",".",".",".",".",".",".",".","3.2",".",".","."
"102","003","","32","3.500","28.1","53.1","9.4","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","","94","3.484","36.2","37.2","14.9","7.4","3.2",".",".",".",".",".",".",".","1.1",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Procaryotic Microbiology","001","","252","3.022","26.6","18.3","23.8","7.5","19.0","3.6","1.2",".",".",".",".",".",".",".",".","."
"304","001","","34","2.985","2.9","17.6","58.8","14.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"304","002","","35","3.100","20.0","11.4","48.6","8.6","11.4",".",".",".",".",".",".",".",".",".",".","."
"304","003","","31","3.129","19.4","12.9","51.6","6.5","9.7",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","","100","3.070","14.0","14.0","53.0","10.0","9.0",".",".",".",".",".",".",".",".",".",".","."
"330
Host-Parasite Interactions","001","","38","3.447","50.0","26.3","15.8",".","2.6",".","5.3",".",".",".",".",".",".",".",".","."
"370
Bacterial Genetics","001","","56","3.143","28.6","25.0","19.6","7.1","16.1","3.6",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"425
Environmental Microbiology","001","","11","3.000","18.2","27.3","27.3","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"531
Undergraduate Seminar","001","","22","3.833","72.7","13.6","9.1",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"545
Topics in Biotechnology","001","","43","3.744","74.4","14.0","9.3",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"550
Physiol Divrsty-Procaryotes","001","","52","2.942","13.5","23.1","25.0","19.2","17.3","1.9",".",".",".",".",".",".",".",".",".","."
"551","001","","18","3.333","27.8","16.7","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"551","002","","13","3.462","53.8",".","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"551","003","","17","3.118","17.6","17.6","47.1","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","","48","3.292","31.3","12.5","45.8","4.2","6.3",".",".",".",".",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","9","3.500","44.4","33.3",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"655
Biol & Genetics-Filament Fungi","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"668
Microbiol-Atomic Resolution","001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
