"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101
Beginning Class Piano","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","12","3.583","58.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","21","3.643","57.1","23.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","9","3.556","55.6",".","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143","001","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"143","002","","14","3.731","50.0","35.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","Course Total","","28","3.704","50.0","35.7","10.7",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"148
First Year Composition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","250","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","22","3.550","31.8","36.4","22.7",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"201","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","9","3.682","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","006","","8","3.389","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"205","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","7","3.750","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","269","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","270","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","271","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","37","3.679","51.4","32.4","10.8","2.7",".",".",".","2.7",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","6","3.867","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"223
Elem/Intmed Euphonium","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"225
Elem/Intmed Tuba","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 270 of 407",""
