"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","77","3.493","46.8","22.1","14.3","3.9","1.3","2.6","1.3","7.8",".",".",".",".",".",".",".","."
"","002
275","77","3.727","59.7","31.2","5.2","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"","275
003","47","3.734","61.7","25.5","10.6","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","201","3.644","55.2","26.4","10.0","3.0","1.0","1.0","0.5","3.0",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350
001","58","3.724","58.6","32.8","5.2","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","370
001","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","12","3.250","33.3","16.7","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","Course Total","31","3.597","58.1","16.1","16.1","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470
001","30","3.500","26.7","60.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","39","2.962","20.5","20.5","28.2","12.8","7.7","10.3",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478
001","15","3.367","33.3","26.7","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
002","33","3.788","78.8","12.1","6.1",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"","532
001","27","3.451","29.6","40.7","22.2","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","532
002","52","3.773","67.3","23.1","3.8","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","79","3.661","54.4","29.1","10.1","3.8","1.3",".",".","1.3",".",".",".",".",".",".",".","."
"International Retailing","562
001","28","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","17","3.953","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"Retailing Internship","603
015","6","3.619","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","657
001","22","3.091","13.6","40.9","18.2","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","657
002","28","3.625","57.1","21.4","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","50","3.390","38.0","30.0","16.0","8.0","6.0","2.0",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","17","3.219","17.6","35.3","11.8","29.4",".",".",".","5.9",".",".",".",".",".",".",".","."
"Family Financial Counseling","675
001","25","3.600","44.0","48.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","699
005","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","25","3.971","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","39","3.945","87.2","7.7","2.6",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Economc Organizatn-Househld","748
001","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"","999
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
