"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","98","3.052","16.3","29.6","24.5","9.2","15.3","3.1",".","2.0",".",".",".",".",".",".",".","."
"","154","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","154","002","","17","3.353","29.4","41.2","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","","Course Total","","28","3.482","35.7","42.9","14.3","3.6",".","3.6",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","12","3.417","41.7","8.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","16","3.031","18.8","31.3","31.3",".","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","74","2.973","23.0","17.6","25.7","14.9","8.1","9.5",".","1.4",".",".",".",".",".",".",".","."
"Interior Design I","222","001","","31","3.435","29.0","29.0","41.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","15","3.367","26.7","40.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","88","3.034","8.0","30.7","30.7","26.1","3.4",".","1.1",".",".",".",".",".",".",".",".","."
"","299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320","001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","13","3.500","38.5","38.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","","Course Total","","24","3.646","50.0","37.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","38","3.197","15.8","26.3","28.9","7.9","7.9",".",".","13.2",".",".",".",".",".",".",".","."
"Twentieth Century Design","420","001","","29","3.414","24.1","41.4","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","","31","3.177","16.1","32.3","32.3","9.7","9.7",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","14","3.321","28.6","21.4","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Structural II","428","001","","13","3.542","23.1","53.8","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","7","3.794","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","21","3.585","52.4","23.8","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory: Environ Context","520","001","","22","3.250","13.6","27.3","54.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","601","015","","13","3.958","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","14","3.961","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","","34","3.368","11.8","50.0","38.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","699","000E","","11","3.688","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000D","","18","3.710","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000C","","18","3.647","55.6","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 147 of 407",""
