"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","9","3.900","88.9",".","11.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","10","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","20","3.944","95.0",".","5.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","167","3.630","4.2","6.6","1.8",".","",".","",".","",".","87.4","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","8","3.500","12.5",".","12.5",".","",".","",".","",".","75.0","",".",".","",".","",".","",".",".",".","."
"Professionals","8","3.500","12.5",".","12.5",".","",".","",".","",".","75.0","",".",".","",".","",".","",".",".",".","."
