"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"910
Smr-Molecular Virolgy (Adv)","001","","27","4.000","14.8",".",".",".",".",".",".","85.2",".",".",".",".",".",".",".","."
"911
Smr:Molec Mech-Hormone Act","001","","15","3.923","73.3","13.3",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"913
Smr-RiboGroup (Advanced)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","16","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"916
Smr:Cell Mech-Protein Biogen","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","043","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"990","044","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","070","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","148","",".",".",".",".",".",".",".","87.2","0.7",".",".","12.2",".",".",".","."
