"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","171","3.189","26.9","18.7","23.4","12.9","9.9","1.2",".","7.0",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","57","3.387","24.6","33.3","28.1","3.5","3.5",".",".","7.0",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410
001","60","3.454","31.7","33.3","26.7","1.7","3.3",".",".","1.7","1.7",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","42","3.500","38.1","26.2","28.6","4.8",".",".",".","2.4",".",".",".",".",".",".",".","."
"International Real Estate","430
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","68","3.772","63.2","30.9","4.4",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Appl-Real Estate Anal","631
001","21","4.000","76.2",".",".",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","28","3.574","42.9","25.0","28.6",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Urban Economics","720
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","730
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
142","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","4","***","","","","","","","","","","","","","","","",""
"Smr-Urban Land Econ PhD","978
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
116","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","4","***","","","","","","","","","","","","","","","",""
"Readng&Rsch-Real Estate PhD","999
151","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","509","3.485","41.8","23.6","18.7","5.3","4.3","0.4",".","5.3","0.2",".",".","0.2",".",".","0.2","."
