"Third Year Psychiatry","Course Total","","73","3.514","20.5","61.6","17.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Individualized 4th Yr Clerk","919
041","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"SpecAdultPsychClerk-Mendota","923
009","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Child Psych Clerk-Mendota","924
006","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PSYCHIAT
814","Dept. Total","","78","3.533","25.6","57.7","16.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","73","3.510","20.5","61.6","17.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","3","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","76","3.527","23.7","59.2","17.1","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","78","3.533","25.6","57.7","16.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
