"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"132
Earth Water:Nat Sci&Hum Use","001","","55","3.000","38.2","14.5","18.2","7.3","7.3","9.1","5.5",".",".",".",".",".",".",".",".","."
"299","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"301
General Soil Science","001","","48","3.260","22.9","37.5","14.6","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"315
Soil Sci-Land Use Planning","001","","46","3.120","30.4","17.4","13.0","23.9","15.2",".",".",".",".",".",".",".",".",".",".","."
"321
Soils and Environmental Chem","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"322
Phys Princ-Soil & Water Mgt","001","","12","3.250","41.7",".","41.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","11","3.273","45.5","9.1","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"428
Senior Seminar","001","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Environmental Biogeochem","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","9","2.600","11.1",".","22.2",".","11.1","11.1",".","11.1",".",".",".",".",".",".","33.3","."
"621
Soil Chemistry","001","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"728
Graduate Seminar","001","","22","3.786","18.2","13.6",".",".",".",".",".","68.2",".",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Soil Science Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 41 of 407"
