"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","172","2.829","21.5","7.0","29.1","7.0","32.0","0.6","1.7","1.2",".",".",".",".",".",".",".","."
"","100","002","170","2.917","23.5","12.4","25.9","7.6","25.3","3.5","0.6",".",".",".",".",".","1.2",".",".","."
"General Anthropology","","Course Total","342","2.873","22.5","9.6","27.5","7.3","28.7","2.0","1.2","0.6",".",".",".",".","0.6",".",".","."
"Archaeology & Prehist World","102","001","125","2.728","18.4","8.0","19.2","15.2","34.4","2.4","0.8","1.6",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","427","3.289","35.6","16.4","29.3","5.2","10.8","0.7","0.2","1.9",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105","001","166","2.714","15.1","14.5","18.7","15.1","31.9","3.0","1.8",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","108","2.875","17.6","10.2","44.4","3.7","17.6","3.7","2.8",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","16","3.063","25.0","31.3","6.3","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","32","2.981","15.6","18.8","28.1","3.1","15.6",".","3.1","9.4",".",".",".",".",".",".","6.3","."
"Cult Anthro:Thry&Ethnogrphy","300","001","56","3.482","48.2","30.4","5.4","7.1","3.6","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","19","3.316","36.8","15.8","31.6","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Peoples & Cultures-Africa","318","001","25","3.310","24.0","44.0","8.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","70","3.087","14.3","21.4","41.4","10.0","11.4",".",".",".",".",".",".",".",".","1.4",".","."
"","330","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","330","001","17","3.259","23.5","47.1","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","330","002","19","3.500","52.6","26.3","5.3",".",".",".","5.3",".",".",".",".",".",".","10.5",".","."
"","330","003","24","3.760","54.2","29.2","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Topics in Ethnology","","Course Total","61","3.535","45.9","32.8","11.5",".",".",".","3.3","3.3",".",".",".",".",".","3.3",".","."
"Prehistory of Africa","333","001","23","3.227","34.8","8.7","34.8","8.7","4.3","4.3",".","4.3",".",".",".",".",".",".",".","."
"Intro-Prehistory&Archaeol Prin","338","001","10","3.444","30.0","40.0","10.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Anthropology of China","358","001","22","3.682","68.2","13.6","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","28","3.621","60.7","17.9","10.7","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","19","2.974","36.8","5.3","15.8","21.1","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","49","2.912","30.6","14.3","20.4","6.1","16.3","10.2","2.0",".",".",".",".",".",".",".",".","."
"","490","001","15","3.733","66.7","26.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","490","002","20","3.474","50.0","10.0","20.0","10.0","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"","490","003","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","50","3.673","62.0","20.0","8.0","4.0","4.0",".",".",".",".",".",".",".","2.0",".",".","."
"Ethnic Representatn in Wisc","520","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology of Drugs","528","001","27","3.815","70.4","25.9",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Psychological Anthropology","545","001","30","3.552","36.7","36.7","20.0","3.3",".",".",".",".",".",".",".",".","3.3",".",".","."
"Phys Anthro of the Living","604","001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cross-Cultrl Spread-Wld Relig","622","001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","692","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","027","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 162 of 407",""
