"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"","362
001","38","3.039","26.3","28.9","13.2","10.5","13.2","5.3","2.6",".",".",".",".",".",".",".",".","."
"","362
002","266","3.110","24.8","24.1","24.8","8.6","9.8","3.8","1.5","2.6",".",".",".",".",".",".",".","."
"Development of Young Child","Course Total","304","3.101","25.0","24.7","23.4","8.9","10.2","3.9","1.6","2.3",".",".",".",".",".",".",".","."
"","363
001","41","2.936","17.1","9.8","31.7","26.8","7.3",".","2.4",".",".",".",".",".",".","4.9",".","."
"","363
002","276","3.000","15.2","13.0","33.0","24.6","7.6","0.4","0.4","5.1",".",".",".",".",".","0.7",".","."
"Develp: Adolescence-Old Age","Course Total","317","2.992","15.5","12.6","32.8","24.9","7.6","0.3","0.6","4.4",".",".",".",".",".","1.3",".","."
"Child Play-Development&Role","464
001","31","3.817","61.3","35.5",".",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"Family&Com Influences-Child","469
001","32","3.828","75.0","15.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infants&Toddlers:Developmnt","470
001","18","3.556","55.6","11.1","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","47","3.809","74.5","17.0","6.4",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","474
002","29","3.362","41.4","17.2","27.6",".","13.8",".",".",".",".",".",".",".",".",".",".","."
"","474
003","28","3.661","71.4","10.7","7.1",".","10.7",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","57","3.509","56.1","14.0","17.5",".","12.3",".",".",".",".",".",".",".",".",".",".","."
"","501
001","25","3.600","32.0","60.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","27","3.648","40.7","51.9","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
501","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"","501
004","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
005","21","3.650","33.3","4.8","4.8",".","4.8",".",".","47.6",".",".",".",".",".",".","4.8","."
"Special Topics","Course Total","94","3.707","46.8","34.0","3.2","2.1","1.1",".",".","10.6",".",".",".",".",".",".","1.1","1.1"
"","516
001","28","3.571","64.3","7.1","10.7","14.3","3.6",".",".",".",".",".",".",".",".",".",".","."
"","516
002","23","3.659","47.8","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","4.3"
"Family Stress and Coping","Course Total","51","3.610","56.9","19.6","9.8","9.8","2.0",".",".",".",".",".",".",".",".",".",".","2.0"
"","517
001","30","3.117","16.7","36.7","23.3","13.3","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"","002
517","30","3.883","90.0","3.3","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","Course Total","60","3.500","53.3","20.0","13.3","6.7","5.0",".","1.7",".",".",".",".",".",".",".",".","."
"African American Families","521
001","15","3.700","66.7","6.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","28","3.357","10.7","60.7","21.4","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","601
002","29","3.934","82.8","13.8",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","601
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","31","3.938","83.9","12.9",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Adv Study of Young Child","662
001","27","3.365","29.6","37.0","11.1","11.1","7.4",".",".",".",".",".",".",".",".",".",".","3.7"
"Developmental & Fam Assessment","663
001","26","3.808","65.4","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childhood and the Family","761
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
