"HISTORY OF SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Making of Modern Science","202","001","","66","3.144","21.2","16.7","36.4","9.1","3.0",".","3.0","10.6",".",".",".",".",".",".",".","."
"The Physician in History","212","001","","44","3.274","15.9","29.5","40.9","9.1",".",".",".","2.3",".",".",".",".",".",".","2.3","."
"Ag&Soc Change-Western Hist","230","001","","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Hon Sm:Studies-Sci,Tech,Med","280","001","","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physician in Hist (Honors)","284","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sch&Learning-Medieval World","311","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","","20","3.594","35.0","35.0","5.0",".","5.0",".",".","10.0",".",".",".",".","5.0",".","5.0","."
"Science in Enlightenment","324","001","","25","3.286","20.0","32.0","32.0","8.0","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"Hist of Phys: Modern Period","326","001","","32","3.266","12.5","59.4","15.6","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","350","001","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350","002","","19","2.944","15.8","10.5","36.8","21.1","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"Spec Topics-Hist of Science","","Course Total","","38","3.378","39.5","21.1","21.1","10.5","2.6","2.6",".","2.6",".",".",".",".",".",".",".","."
"History of Pharmacy","401","001","","25","3.174","36.0",".","36.0",".","20.0",".",".","4.0",".",".",".",".","4.0",".",".","."
"Monsters & Science: A History","517","001","","34","2.953","11.8","23.5","38.2","2.9","11.8","2.9","2.9","5.9",".",".",".",".",".",".",".","."
"Med Hist of Sex & Sexuality","524","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Social Sciences","536","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-Hist of Sci","555","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Early Modern Sci","623","001","","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Topics in History of Med","668","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: History of Technology","907","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Science in America","915","001","","7","3.500",".","14.3",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919","002","","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Grad Studies-Medical Hist","","Course Total","","7","3.700","28.6","42.9",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"Seminar:Research and Thesis","925","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Science Colloq","950","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","14","",".",".",".",".",".",".",".","71.4",".",".",".","7.1",".",".","21.4","."
"Independent Work","999","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
