"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","13","3.833","69.2","15.4","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","101
002","","19","3.711","68.4","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
101","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","20","2.975","30.0","5.0","25.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","101
005","","21","3.225","38.1","19.0","23.8","4.8",".","4.8","4.8","4.8",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","92","3.494","56.5","12.0","16.3","4.3","6.5","1.1","1.1","2.2",".",".",".",".",".",".",".","."
"","102
001","","14","2.964","14.3","28.6","28.6","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","102
002","","13","3.231","38.5","23.1","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","102
003","","22","3.432","54.5","18.2","13.6","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","102
004","","16","3.188","31.3","18.8","37.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","102
005","","20","3.325","35.0","35.0","15.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","85","3.253","36.5","24.7","22.4","4.7","5.9","2.4","3.5",".",".",".",".",".",".",".",".","."
"Second Semester Dutch","001
112","","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","23","3.182","30.4","13.0","30.4","4.3","17.4",".",".","4.3",".",".",".",".",".",".",".","."
"","203
002","","21","2.952","33.3","4.8","28.6","14.3","4.8","14.3",".",".",".",".",".",".",".",".",".","."
"","203
003","","19","3.237","52.6",".","26.3","5.3","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","63","3.121","38.1","6.3","28.6","7.9","11.1","4.8","1.6","1.6",".",".",".",".",".",".",".","."
"","204
001","","19","3.132","26.3","15.8","36.8","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","204
002","","18","3.639","61.1","16.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","21","3.500","42.9","19.0","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","58","3.422","43.1","17.2","27.6","8.6","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","221
001","","10","3.778","50.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","221
002","","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","","21","3.650","47.6","28.6","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture II","222
001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","","19","3.750","68.4","10.5","10.5","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","225
003","","14","3.393","28.6","35.7","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","","51","3.640","52.9","25.5","15.7","2.0","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"","226
001","","19","3.750","57.9","26.3","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","226
002","","13","3.345","53.8","15.4","15.4",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","","32","3.580","56.3","21.9","12.5",".",".",".","3.1","6.3",".",".",".",".",".",".",".","."
"Bascom Course","236
001","","16","3.594","43.8","43.8",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to German Literature","274
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","278
001","","22","3.571","36.4","36.4","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","278
002","","11","3.545","54.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","33","3.563","42.4","27.3","24.2","3.0",".",".",".","3.0",".",".",".",".",".",".",".","."
"Honors Intro to German Lit","284
001","","8","3.188","12.5","37.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","285
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Literatur des 19. Jahrhunderts","303
001","","10","3.371","40.0","10.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
