"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","160","2.939","16.3","21.9","26.3","16.3","11.3","3.1","2.5","2.5",".",".",".",".",".",".",".","."
"","120","001","136","2.656","8.8","19.9","22.1","26.5","11.0","4.4","6.6","0.7",".",".",".",".",".",".",".","."
"","120","002","149","2.827","12.8","10.7","26.8","38.3","4.7","4.7","0.7","1.3",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","285","2.745","10.9","15.1","24.6","32.6","7.7","4.6","3.5","1.1",".",".",".",".",".",".",".","."
"","127","001","30","3.133","16.7","33.3","23.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","127","002","50","2.860","24.0","14.0","16.0","18.0","22.0","4.0","2.0",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","80","2.963","21.3","21.3","18.8","16.3","18.8","2.5","1.3",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","20","3.694","70.0","15.0",".",".",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","7","3.214","28.6","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","7","3.000","28.6","28.6","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","16","2.938","12.5","18.8","43.8","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Econ Geog: Locational Behav","302","001","24","3.545","37.5","33.3","16.7",".","4.2",".",".","8.3",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","42","2.697","14.3","9.5","23.8","16.7","19.0","2.4","4.8","9.5",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","32","3.483","40.6","18.8","28.1","3.1","3.1",".",".","6.3",".",".",".",".",".",".",".","."
"Climatology","321","001","22","3.023","27.3","13.6","31.8","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","25","3.125","24.0","20.0","24.0","12.0","16.0",".",".","4.0",".",".",".",".",".",".",".","."
"Landforms&Landscapes-N Amer","329","001","44","3.125","25.0","25.0","27.3","9.1","9.1","2.3","2.3",".",".",".",".",".",".",".",".","."
"","339","001","43","2.802","18.6","9.3","34.9","7.0","23.3","4.7","2.3",".",".",".",".",".",".",".",".","."
"","339","002","50","2.673","6.0","12.0","36.0","12.0","26.0","6.0",".","2.0",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","93","2.734","11.8","10.8","35.5","9.7","24.7","5.4","1.1","1.1",".",".",".",".",".",".",".","."
"Europe","349","001","116","3.241","30.2","18.1","26.7","12.1","6.0","0.9","0.9","5.2",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","25","3.080","20.0","24.0","20.0","24.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","37","3.068","18.9","21.6","32.4","13.5","10.8","2.7",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","38","3.039","28.9","18.4","18.4","15.8","10.5","7.9",".",".",".",".",".",".",".",".",".","."
"Seminar","401","001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","22","3.738","54.5","31.8","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Rsch the City: Qual Strategies","503","001","13","3.950","69.2","7.7",".",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"Hist Geog-European Urbanztn","506","001","26","3.615","42.3","38.5","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Geography","510","001","20","3.525","45.0","30.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"The Quaternary Period","527","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","22","3.381","45.5","22.7","13.6","4.5","4.5",".","4.5",".",".",".",".",".","4.5",".",".","."
"Animated & Web-based Mapping","575","001","29","3.724","69.0","20.7","3.4",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"GIS Applications","578","001","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","076","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Special Topics in Geography","675","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Geography","676","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
