"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","220","2.846","16.4","15.9","34.5","8.2","17.3","2.3","4.5","0.9",".",".",".",".",".",".",".","."
"","002
300","112","2.933","27.7","5.4","34.8","8.0","17.9","3.6","2.7",".",".",".",".",".",".",".",".","."
"","300
010","156","2.771","18.6","4.5","43.6","3.2","18.6","5.8","3.8","1.9",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","488","2.843","19.7","9.8","37.5","6.6","17.8","3.7","3.9","1.0",".",".",".",".",".",".",".","."
"","305
001","74","3.351","31.1","21.6","36.5","8.1","2.7",".",".",".",".",".",".",".",".",".",".","."
"","305
002","66","2.922","7.6","21.2","42.4","9.1","13.6","1.5","1.5","3.0",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","140","3.152","20.0","21.4","39.3","8.6","7.9","0.7","0.7","1.4",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","6","3.600","33.3","33.3","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
096","7","3.583","42.9","14.3","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","41","3.317","36.6","17.1","31.7","7.3","4.9","2.4",".",".",".",".",".",".",".",".",".","."
"","420
001","38","3.579","23.7","68.4","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","28","3.696","46.4","46.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Change & Org","Course Total","66","3.629","33.3","59.1","7.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","36","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","19","3.667","47.4","31.6","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","423
002","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","34","3.591","41.2","32.4","23.5",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","13","3.625","61.5","7.7","15.4",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Seminar:Human Resources Issues","471
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","20","3.789","60.0","30.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","29","3.793","75.9","13.8","6.9",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","700
010","11","3.409","36.4","18.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Motivational Effectiveness","701
001","43","3.942","90.7","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Effectiveness","702
001","49","3.875","75.5","20.4","2.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","704
001","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","38","3.947","97.4",".",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","704
003","38","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","Course Total","112","3.938","92.9","3.6","2.7",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","19","3.611","63.2","5.3","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","5.3","."
"","723
001","29","3.690","48.3","41.4","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
030","32","3.688","53.1","31.3","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","61","3.689","50.8","36.1","13.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
001","31","3.581","38.7","38.7","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
003","17","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategc Mgmt-Innovatn&Tech","Course Total","61","3.590","39.3","39.3","21.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurl Growth Strategy","001
727","16","3.594","37.5","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","23","3.717","56.5","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","731
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","733
001","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","733
002","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","733
003","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 58 of 407"
