"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"","101","001","455","2.782","7.9","21.3","26.8","24.0","11.6","7.7","0.4",".",".",".",".",".",".",".","0.2","."
"","101","002","469","2.868","15.6","20.5","24.7","19.2","10.9","8.3","0.6","0.2",".",".",".",".",".",".",".","."
"","101","003","349","2.741","15.2","16.9","18.9","20.3","18.9","8.0","1.4","0.3",".",".",".",".",".",".",".","."
"Principles-Microeconomics","","Course Total","1273","2.802","12.7","19.8","23.9","21.2","13.4","8.0","0.8","0.2",".",".",".",".",".",".","0.1","."
"","102","001","402","2.776","19.4","16.2","16.9","15.7","23.6","5.5","2.5","0.2",".",".",".",".",".",".",".","."
"","102","002","364","2.720","22.3","12.6","13.2","14.8","27.7","6.6","2.7",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","","Course Total","766","2.749","20.8","14.5","15.1","15.3","25.6","6.0","2.6","0.1",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","111","001","33","3.379","33.3","30.3","18.2","15.2","3.0",".",".",".",".",".",".",".",".",".",".","."
"","300","001","9","2.722",".","11.1","44.4","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"","300","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","","Course Total","10","2.800",".","20.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","301","001","82","2.950","15.9","12.2","35.4","19.5","12.2","2.4",".","1.2",".",".",".",".",".",".","1.2","."
"","301","002","106","2.610","11.3","17.0","17.0","26.4","14.2","8.5","4.7","0.9",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","","Course Total","188","2.757","13.3","14.9","25.0","23.4","13.3","5.9","2.7","1.1",".",".",".",".",".",".","0.5","."
"Intmed Macroeconomic Theory","302","001","159","2.740","13.8","18.9","16.4","21.4","18.9","3.8","3.8","1.9","1.3",".",".",".",".",".",".","."
"The Real Estate Process","306","001","47","2.695","8.5","8.5","31.9","14.9","14.9","8.5",".","12.8",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310","001","86","2.523","14.0","12.8","16.3","15.1","25.6","14.0","2.3",".",".",".",".",".",".",".",".","."
"","320","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Money and Banking","330","001","187","3.087","15.0","29.4","23.5","16.0","10.2","1.6",".","3.2","0.5",".",".",".",".",".","0.5","."
"Issues-Comparative Economics","365","001","33","3.188","24.2","18.2","33.3","12.1","9.1",".",".","3.0",".",".",".",".",".",".",".","."
"","390","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","390","014","27","3.593","48.1","22.2","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","","Course Total","29","3.528","44.8","20.7","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410","001","35","2.714","17.1","17.1","17.1","22.9","11.4","11.4","2.9",".",".",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421","001","10","1.900",".","30.0","20.0","10.0",".",".","40.0",".",".",".",".",".",".",".",".","."
"Episodes-Macroeconomic Hist","432","001","28","3.232","32.1","17.9","32.1",".","17.9",".",".",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441","001","39","2.833","20.5","12.8","17.9","20.5","23.1","5.1",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450","001","53","2.906","28.3","11.3","24.5","7.5","18.9","7.5","1.9",".",".",".",".",".",".",".",".","."
"Economic Approach-Human Behav","451","001","27","2.926","18.5","14.8","29.6","22.2","7.4","7.4",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464","001","110","2.606","14.5","9.1","25.5","10.9","29.1","6.4","3.6",".",".",".",".",".",".",".","0.9","."
"American Economy Since 1865","466","001","21","3.106","23.8","14.3","42.9","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Intl Industrial Firms&Orgs","467","001","71","3.056","23.9","14.1","31.0","16.9","12.7",".","1.4",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468","001","44","2.864","11.4","15.9","25.0","34.1","11.4","2.3",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","38","2.803","15.8","7.9","39.5","15.8","13.2","5.3","2.6",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Transport Economics","478","001","26","2.865","7.7","7.7","50.0","19.2","15.4",".",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567","001","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Tutorial-Rsch Project Dsgn","590","002","11","3.318","36.4","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 198 of 407",""
