"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"CURRIC","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","58","3.783","70.7","15.5","8.6","3.4",".",".",".",".",".","1.7",".",".",".",".",".","."
"Junior","","393","3.895","66.7","7.4","3.6","0.3","0.3",".",".",".",".","21.9",".",".",".",".",".","."
"Senior","","1567","3.921","65.5","5.0","1.3","0.2","0.3","0.1","0.2","0.1",".","26.7","0.2",".","0.4","0.1",".","."
"Undergraduates","","2027","3.911","66.1","5.8","1.9","0.3","0.2","0.0","0.1","0.1",".","24.9","0.1",".","0.3","0.0",".","."
"Special","","228","3.884","85.1","2.2","3.1","0.4","0.4",".","0.9","0.4",".","7.0",".",".","0.4",".",".","."
"Graduate","","479","3.925","73.7","3.5","1.3","0.4","0.4","0.2","0.2","14.6","0.4",".",".","3.1","0.8",".","1.3","."
"","Dept. Total","2734","3.912","69.0","5.1","1.9","0.3","0.3","0.1","0.2","2.7","0.1","19.1","0.1","0.5","0.4","0.0","0.2","."
