"","996
049","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","996
065","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","996
069","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research-Materials Chemistry","Course Total","18","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"CHEM
224","Dept. Total","4574","2.907","24.9","12.0","26.5","7.7","16.4","3.8","2.1","5.2","",".","0.9",".","0.4","0.0","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","869","2.734","16.1","11.3","29.7","9.3","25.4","5.8","2.2",".","",".",".",".",".",".","0.1","0.1","."
"Sophomore","","1338","2.921","25.5","10.7","30.2","7.4","20.0","4.3","1.9",".","",".",".",".",".",".",".",".","."
"Junior","","1082","2.958","27.5","14.3","27.2","8.6","15.6","3.5","2.6",".","",".",".",".",".","0.1","0.1","0.5","."
"Senior","","725","2.953","27.6","15.2","28.8","10.3","11.6","3.6","2.5","0.1","",".",".",".",".",".","0.3",".","."
"Undergraduates","","4014","2.881","24.4","12.6","29.0","8.7","18.5","4.3","2.3","0.0","",".",".",".",".","0.0","0.1","0.1","."
"Special","","52","3.263","46.2","11.5","25.0",".","11.5",".","3.8","1.9","",".",".",".",".",".",".",".","."
"Graduate","","653","3.583","41.7","5.5","5.5","0.6","0.3","0.2","0.2","37.5","",".","6.0",".","2.6",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","#Num!","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","4721","2.907","27.0","11.6","25.7","7.5","15.9","3.6","2.0","5.2","",".","0.8",".","0.4","0.0","0.1","0.1","."
