"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","16","3.531","50.0","25.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","3.316","36.8","10.5","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
004","17","3.647","70.6","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","101
006","22","3.455","40.9","13.6","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","20","3.575","45.0","35.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
008","12","3.375","50.0","33.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","101
009","21","3.381","42.9","19.0","28.6",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","101
011","16","3.625","56.3","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
012","18","3.528","50.0","16.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
013","16","3.300","37.5","6.3","31.3","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","177","3.474","47.5","19.2","22.0","6.2","2.8","1.1","0.6","0.6",".",".",".",".",".",".",".","."
"","102
001","14","3.429","35.7","35.7","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.200","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","21","3.381","28.6","23.8","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","23","3.174","39.1","21.7","17.4","4.3","4.3","13.0",".",".",".",".",".",".",".",".",".","."
"","102
007","20","3.300","10.0","55.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
009","21","3.548","42.9","23.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","16","3.000","18.8","25.0","31.3","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","102
011","18","3.167","33.3","38.9","11.1","5.6",".",".","11.1",".",".",".",".",".",".",".",".","."
"","102
012","19","3.237","26.3","26.3","36.8",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","102
013","21","3.400","19.0","38.1","38.1",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","193","3.286","27.5","31.6","28.0","5.7","3.1","2.1","1.6","0.5",".",".",".",".",".",".",".","."
"","201
001","12","2.727","8.3","16.7","33.3",".","25.0","8.3",".",".","8.3",".",".",".",".",".",".","."
"","201
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","13","3.231","23.1","23.1","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","34","3.273","38.2","14.7","23.5","8.8","8.8","2.9",".",".","2.9",".",".",".",".",".",".","."
"","203
001","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","21","3.167","33.3","14.3","33.3","9.5",".","9.5",".",".",".",".",".",".",".",".",".","."
"","203
004","15","3.286","20.0","20.0","46.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","203
006","20","3.500","50.0","15.0","15.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","66","3.352","37.9","16.7","28.8","9.1","1.5","3.0",".","3.0",".",".",".",".",".",".",".","."
"","204
001","20","3.184","40.0","25.0","10.0",".","5.0","15.0",".","5.0",".",".",".",".",".",".",".","."
"","204
002","20","3.639","45.0","25.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","40","3.405","42.5","25.0","15.0",".","2.5","7.5",".","7.5",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","19","3.235","31.6","21.1","21.1","10.5",".",".","5.3","10.5",".",".",".",".",".",".",".","."
"Directed Study","298
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","19","3.472","42.1","10.5","36.8","5.3",".",".",".",".",".",".",".",".",".",".","5.3","."
"Adv Compostn&Converstn","312
001","11","3.550","45.5","18.2","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Italian for Business","313
001","7","3.417","57.1","14.3",".",".",".","14.3",".","14.3",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","11","3.662","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Corso Di Stilistca Applicta","423
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
001","13","3.914","76.9",".","7.7",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"","450
002","15","3.775","66.7","13.3",".","6.7",".",".",".",".",".",".",".",".","13.3",".",".","."
"Special Topics-Italian Lit","Course Total","28","3.840","71.4","7.1","3.6","3.6",".",".",".","3.6",".",".",".",".","10.7",".",".","."
