"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","465","2.770","22.2","15.1","18.5","15.5","14.4","9.7","3.7","0.4",".",".",".",".","0.4","0.2",".","."
"329","001","","61","3.533","50.8","24.6","13.1","6.6","3.3","1.6",".",".",".",".",".",".",".",".",".","."
"329","002","","61","3.410","41.0","24.6","16.4","14.8","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"329","003","","56","3.348","44.6","19.6","23.2",".","8.9",".","3.6",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","178","3.433","45.5","23.0","17.4","7.3","4.5","1.1","1.1",".",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","24","2.977","16.7","16.7","37.5","4.2","8.3","8.3",".","4.2","4.2",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","003","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Anatomy","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","27","3.726","88.9",".","7.4",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"722","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinicl Anatomy & Radiology","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
