"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Bascom Course","236","001","16","3.313","31.3","43.8","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250","001","223","3.172","21.5","35.4","23.3","10.3","3.6","1.3","3.6","0.9",".",".",".",".",".",".",".","."
"Communication & Human Behav","260","001","156","3.304","14.7","47.4","27.6","7.1","2.6",".","0.6",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262","001","95","3.153","9.5","45.3","30.5","6.3","5.3","1.1","2.1",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266","001","108","3.616","54.6","21.3","20.4","1.9","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","97","3.418","35.1","33.0","18.6","7.2","6.2",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","108","3.009","9.3","20.4","45.4","16.7","7.4",".","0.9",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","86","3.577","44.2","30.2","19.8","1.2","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","149","2.945","10.7","30.2","25.5","15.4","10.7","3.4","2.0","2.0",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","121","2.933","9.9","33.1","24.8","16.5","7.4","5.0","2.5","0.8",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","97","2.974","11.3","28.9","24.7","19.6","12.4","3.1",".",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","130","3.219","17.7","34.6","34.6","7.7","3.1","0.8","1.5",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358","001","24","3.104","25.0","8.3","45.8","4.2","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Rhetorical Thry&Crit","360","001","67","3.224","14.9","38.8","37.3","3.0","3.0","1.5","1.5",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","64","3.055","12.5","31.3","29.7","14.1","10.9",".","1.6",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","88","3.081","9.1","28.4","42.0","10.2","6.8",".","1.1","2.3",".",".",".",".",".",".",".","."
"Rhetoric-Campaign&Revolutn","372","001","321","2.922","11.2","25.2","28.0","15.6","14.3","0.9","2.5","2.2",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","45","3.067","13.3","20.0","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Asian Americans and Media","420","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Media Cultures","458","001","48","3.042","12.5","20.8","43.8","16.7","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"Avant-Garde Film","463","001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472","001","33","3.000","24.2","9.1","36.4","9.1","18.2","3.0",".",".",".",".",".",".",".",".",".","."
"Communication Theory","560","001","10","3.278","30.0","10.0","30.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Classical Rhetorical Theory","570","001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","58","3.491","44.8","25.9","13.8","13.8","1.7",".",".",".",".",".",".",".",".",".",".","."
"","610","001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","002","9","3.389","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","","Course Total","20","3.675","60.0","25.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","612","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","612","001","14","3.429","21.4","42.9","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Science","","Course Total","15","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","000A","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613","001","19","3.529","42.1","26.3","10.5","5.3","5.3",".",".",".",".",".",".",".","10.5",".",".","."
"","613","002","21","3.190","33.3","19.0","23.8","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","613","003","15","3.533","46.7","13.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","60","3.379","38.3","21.7","21.7","8.3","5.0","1.7",".",".",".",".",".",".","3.3",".",".","."
"","614","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 183 of 407",""
