"","990
068","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
070","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
071","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","58","",".",".",".",".",".",".",".","84.5","",".",".",".","6.9","",".",".","8.6","."
"ZOOLOGY
970","Dept. Total","3648","3.036","29.5","14.1","27.3","8.2","14.3","3.3","1.3","1.6","",".","0.1",".","0.1","",".","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","581","2.901","22.9","18.6","27.7","7.6","17.4","3.8","2.1",".","",".",".",".",".","",".",".",".","."
"Sophomore","","912","2.982","23.9","14.0","34.1","7.8","15.8","3.4","0.9","0.1","",".",".",".",".","",".",".",".","."
"Junior","","894","3.044","26.3","15.8","30.0","9.5","13.1","3.6","1.6",".","",".","0.2",".",".","",".",".",".","."
"Senior","","1048","3.098","35.6","12.2","23.4","9.1","14.6","3.3","1.3","0.4","",".",".",".",".","",".","0.1",".","."
"Undergraduates","","3435","3.021","27.9","14.7","28.7","8.6","15.0","3.5","1.4","0.1","",".","0.1",".",".","",".","0.0",".","."
"Special","","35","2.900","31.4","11.4","14.3","11.4","14.3","5.7","2.9","8.6","",".",".",".",".","",".",".",".","."
"Graduate","","179","3.876","60.3","2.2","3.4",".","0.6",".",".","27.4","",".",".",".","2.2","",".","0.6","3.4","."
"","Dept. Total","3649","3.036","29.5","14.1","27.3","8.2","14.3","3.3","1.3","1.6","",".","0.1",".","0.1","",".","0.1","0.2","."
