"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","148","3.562","45.3","29.7","16.2","3.4","3.4",".",".","2.0",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","37","2.792","18.9","13.5","21.6","5.4","32.4","5.4",".","2.7",".",".",".",".",".",".",".","."
"The Symphony","106
001","","76","3.397","48.7","11.8","15.8","11.8","5.3","2.6",".","3.9",".",".",".",".",".",".",".","."
"","111
001","","22","3.524","31.8","36.4","27.3",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","111
002","","24","3.455","29.2","41.7","16.7",".",".","4.2",".","8.3",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","46","3.488","30.4","39.1","21.7",".",".","2.2",".","6.5",".",".",".",".",".",".",".","."
"Music in Performance","114
001","","491","3.932","80.4","9.6","0.4","0.4","0.2",".",".","9.0",".",".",".",".",".",".",".","."
"","122
001","","16","3.031","12.5","18.8","50.0","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"","122
002","","30","3.200","20.0","20.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","","46","3.141","17.4","19.6","47.8","8.7","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","33","3.297","54.5","6.1","15.2","9.1","6.1",".","6.1","3.0",".",".",".",".",".",".",".","."
"","172
101","","8","3.063","25.0","12.5","50.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","172
102","","8","3.188","12.5","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","172
103","","11","3.045","18.2","9.1","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
105","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","","46","3.207","17.4","30.4","34.8","15.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","","294","3.707","54.4","30.6","8.8","1.0","0.7","0.3",".","4.1",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","","38","3.368","50.0","10.5","23.7","5.3","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"","222
001","","14","3.286","28.6","28.6","35.7",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","222
002","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","Course Total","","28","3.482","39.3","32.1","25.0",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"","254
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
