"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"410
Biol Determnts-Hlth Disparity","001","","14","3.571","57.1","7.1","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"699
Directed Study","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","061","","20","3.700","45.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","18","3.639","33.3","61.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","20","3.525","20.0","70.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","20","3.425","30.0","35.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","79","3.570","31.6","54.4","11.4","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"925","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","2","***","","","","","","","","","","","","","","","",""
"927
ObGyn Inpatnt Clrk-LaCrosse","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","17","3.952","88.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
