"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","19","3.474","31.6","42.1","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","17","3.706","64.7","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","15","3.533","26.7","60.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","99","3.682","55.6","30.3","11.1","1.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","","20","3.250","40.0","20.0","20.0",".","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Found Agri-sci&Nat Resrc Educ","200
001","","10","3.750","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","","13","3.615","38.5","53.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","18","3.222","27.8","22.2","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","212
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","33","3.576","60.6","12.1","15.2","6.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Informational Photography","260
001","","9","3.688","66.7","11.1",".",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"","299
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Agri-science Educ","345
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","Course Total","","41","3.890","80.5","17.1","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","7","3.826","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","13","3.981","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","24","3.877","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Methods:Agri-sci Educ","377
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","12","3.950","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","","15","3.536","46.7","20.0","20.0",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","","17","3.730","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
515","","16","3.531","75.0","6.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
