"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","21","3.643","76.2","9.5","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","155
001","21","3.667","47.6","47.6",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","155
003","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","16","2.875","12.5","25.0","25.0","25.0","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","155
005","18","3.278","16.7","38.9","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","19","3.211","21.1","26.3","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","155
007","18","3.278","22.2","27.8","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","112","3.384","33.0","33.0","18.8","11.6","2.7",".","0.9",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","19","3.579","57.9","31.6","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","275
002","18","3.556","33.3","50.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","17","3.794","82.4","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","19","3.789","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","18","3.500","61.1","5.6","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","91","3.643","58.2","27.5","6.6","4.4","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"","306
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
004","6","3.750","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Basic Chinese Conversatn II","Course Total","8","3.500","37.5","25.0",".",".","12.5",".",".","25.0",".",".",".",".",".",".",".","."
"","332
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","8","3.313","12.5","62.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","332
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","10","3.333","10.0","60.0",".","20.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"","375
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Manuals/Software Docmt","392
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","21","3.548","33.3","47.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","21","3.429","23.8","38.1","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","19","3.474","21.1","52.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.595","57.1","14.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","22","3.524","22.7","59.1","9.1","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"","397
006","20","3.575","45.0","35.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
007","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","23","3.614","43.5","39.1","8.7",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","397
009","22","3.273","4.5","54.5","36.4",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
010","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","21","3.214","23.8","28.6","38.1","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","233","3.541","38.6","37.3","19.3","2.1","1.3",".","0.4",".",".",".",".",".","0.9",".",".","."
"Tech Communications Intrshp","398
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Independent Study","399
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","23","3.955","87.0","8.7",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
