"","990
018","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
019","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
020","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","48","",".",".",".",".",".",".",".","100.0","",".",".",".","",".","",".",".",".","."
"M M & I
620","Dept. Total","500","3.390","39.4","14.8","15.8","6.6","4.6","1.0","0.4","17.4","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","18","2.990","38.9","11.1","16.7","11.1","11.1","5.6","5.6",".","",".",".",".","",".","",".",".",".","."
"Junior","","94","3.146","39.4","11.7","23.4","9.6","10.6","4.3","1.1",".","",".",".",".","",".","",".",".",".","."
"Senior","","233","3.443","42.9","22.3","21.5","7.7","4.7",".",".","0.9","",".",".",".","",".","",".",".",".","."
"Undergraduates","","345","3.328","41.7","18.8","21.7","8.4","6.7","1.4","0.6","0.6","",".",".",".","",".","",".",".",".","."
"Special","","9","3.421","44.4","11.1","22.2","11.1",".",".",".","11.1","",".",".",".","",".","",".",".",".","."
"Graduate","","144","3.774","33.3","5.6","1.4","2.1",".",".",".","57.6","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".",".","",".","",".",".",".","."
"","Dept. Total","500","3.390","39.4","14.8","15.8","6.6","4.6","1.0","0.4","17.4","",".",".",".","",".","",".",".",".","."
