"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","165","3.139","35.8","4.8","41.2","3.6","8.5","4.2","1.8",".",".",".",".",".",".",".",".","."
"","002
201","89","3.118","28.1","12.4","42.7","2.2","11.2",".","3.4",".",".",".",".",".",".",".",".","."
"Statics","Course Total","254","3.132","33.1","7.5","41.7","3.1","9.4","2.8","2.4",".",".",".",".",".",".",".",".","."
"","202
001","82","2.915","17.1","23.2","20.7","23.2","7.3","7.3","1.2",".",".",".",".",".",".",".",".","."
"","002
202","28","2.964","21.4","21.4","25.0","7.1","17.9","7.1",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","110","2.927","18.2","22.7","21.8","19.1","10.0","7.3","0.9",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","74","3.014","16.2","25.7","29.7","12.2","10.8","5.4",".",".",".",".",".",".",".",".",".","."
"","307
001","6","3.250","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
307","9","3.111","33.3",".","44.4",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","307
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","44","3.352","36.4","18.2","34.1","2.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","22","2.864","36.4","13.6","9.1","13.6","13.6","4.5","9.1",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","508
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","32","3.172","34.4","9.4","21.9","25.0","9.4",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","25","3.480","44.0","12.0","40.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","18","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","10","3.556","40.0","40.0",".",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","601
004","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","54","3.660","44.4","44.4","7.4",".","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Continua","622
001","12","3.350","16.7","41.7","16.7",".","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"Satellite Dynamics","642
001","24","2.625","8.3","8.3","37.5","16.7","16.7","12.5",".",".",".",".",".",".",".",".",".","."
"","699
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
