"NAVAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","",""
"Seapower-Maritime Affairs","102
001","26","3.308","23.1","34.6","30.8","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Naval Lab II","176
001","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Naval Engineering","202
001","16","3.563","50.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Naval Lab II","276
001","18","3.500","44.4","27.8","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Navigation & Operations II","302
001","8","3.429","12.5","50.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intermed Naval Lab II","376
001","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Naval Leadership and Ethics","402
001","23","3.196","30.4","13.0","26.1","26.1","4.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Naval Laboratory II","476
001","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Naval Lab II","576
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"NAV SCI
672","Dept. Total","131","3.410","43.5","23.7","21.4","7.6","3.1",".",".","0.8",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","3.288","23.1","38.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","31","3.507","41.9","25.8","22.6","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Junior","","25","3.446","40.0","32.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","61","3.376","50.8","16.4","19.7","9.8","3.3",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","130","3.410","43.8","23.8","21.5","7.7","3.1",".",".",".",".",".",".",".",".",".",".","."
"Special","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","131","3.410","43.5","23.7","21.4","7.6","3.1",".",".","0.8",".",".",".",".",".",".",".","."
