"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","342
001","10","3.150","10.0","30.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","342
002","26","2.577","19.2","19.2","7.7","3.8","34.6","11.5","3.8",".",".",".",".",".",".",".",".","."
"","003
342","33","3.045","18.2","27.3","15.2","24.2","15.2",".",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","69","2.884","17.4","24.6","15.9","15.9","20.3","4.3","1.4",".",".",".",".",".",".",".",".","."
"","349
001","14","3.464","14.3","64.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
002","20","3.375","25.0","45.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","349
003","20","3.275","15.0","30.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","20","3.350","30.0","30.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","349
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","349
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","349
007","13","2.923","7.7","23.1","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","97","3.299","21.6","37.1","27.8","8.2","4.1","1.0",".",".",".",".",".",".",".",".",".","."
"","351
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","351
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","5","***","","","","","","","","","","","","","","","",""
"","352
001","9","3.056",".","55.6","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","352
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","13","3.346","30.8","38.5","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","361
001","41","2.878","12.2","31.7","26.8","7.3","9.8","9.8","2.4",".",".",".",".",".",".",".",".","."
"","361
002","38","2.684","7.9","18.4","15.8","39.5","10.5","5.3","2.6",".",".",".",".",".",".",".",".","."
"","361
003","28","2.857","14.3","21.4","25.0","14.3","21.4",".","3.6",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","107","2.804","11.2","24.3","22.4","20.6","13.1","5.6","2.8",".",".",".",".",".",".",".",".","."
"","363
001","48","2.958","18.8","22.9","18.8","22.9","10.4","6.3",".",".",".",".",".",".",".",".",".","."
"","363
002","54","3.028","20.4","25.9","14.8","27.8","7.4","1.9","1.9",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","102","2.995","19.6","24.5","16.7","25.5","8.8","3.9","1.0",".",".",".",".",".",".",".",".","."
"","364
001","53","3.528","41.5","30.2","24.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","364
002","36","3.000","16.7","16.7","41.7","11.1","8.3","5.6",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","89","3.315","31.5","24.7","31.5","4.5","5.6","2.2",".",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","71","2.972","8.5","15.5","47.9","18.3","9.9",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","98","2.964","18.4","17.3","22.4","22.4","19.4",".",".",".",".",".",".",".",".",".",".","."
"","417
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","14","3.786","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","418
001","67","3.739","64.2","19.4","16.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","69","3.732","62.3","21.7","15.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","419
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","Course Total","4","***","","","","","","","","","","","","","","","",""
"Stat Expermntl Design-Engrs","424
001","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","10","3.600","70.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Joining of Materials","435
001","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Vibrations","440
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 133 of 408",""
