"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","71","",".",".",".",".",".",".",".","98.6",".",".",".","",".",".",".","1.4","."
"PSYCH
820","Dept. Total","4299","3.074","33.8","16.0","17.2","12.1","13.3","3.7","1.4","2.2","0.0",".",".","",".","0.1","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","515","2.653","12.8","16.9","13.6","22.7","24.7","5.4","3.1",".",".",".",".","",".",".",".",".","0.8"
"Sophomore","","1043","2.947","22.7","17.8","20.4","16.2","17.8","3.5","1.4","0.1",".",".",".","",".",".",".",".","."
"Junior","","1129","3.039","34.7","15.2","18.2","11.2","13.2","5.0","2.0","0.4",".",".",".","",".",".",".",".","."
"Senior","","1330","3.318","45.6","16.5","17.5","7.8","7.8","2.6","0.5","1.3","0.1",".",".","",".","0.2","0.2","0.1","."
"Undergraduates","","4017","3.055","32.4","16.5","17.9","12.9","14.1","3.9","1.5","0.5","0.0",".",".","",".","0.0","0.0","0.0","0.1"
"Special","","30","3.014","43.3","10.0","13.3","6.7","3.3","10.0","3.3","6.7",".",".",".","",".",".",".","3.3","."
"Graduate","","250","3.725","54.8","8.0","5.2","0.8","1.6","0.4",".","28.4",".",".",".","",".","0.4",".","0.4","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","4299","3.074","33.8","16.0","17.2","12.1","13.3","3.7","1.4","2.2","0.0",".",".","",".","0.1","0.0","0.1","0.1"
