"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","211","001","","51","2.770","13.7","15.7","25.5","13.7","23.5","3.9","2.0","2.0",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","44","2.682","18.2","9.1","29.5","13.6","15.9","9.1","4.5",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","25","2.740","16.0","16.0","16.0","20.0","24.0","8.0",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","34","2.750","17.6","23.5","11.8","14.7","23.5","2.9","5.9",".",".",".",".",".",".",".",".","."
"","324","003","","13","3.385","30.8","46.2","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","25","3.380","28.0","40.0","20.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","34","3.103","23.5","20.6","32.4",".","23.5",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","14","3.731","78.6","7.1",".",".",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","35","2.871","31.4",".","25.7","8.6","28.6","5.7",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","28","2.857","21.4","21.4","17.9","7.1","21.4","10.7",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","41","2.951","9.8","22.0","43.9","12.2","7.3","2.4","2.4",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","28","3.125","21.4","14.3","39.3","17.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","29","3.121","24.1","31.0","10.3","13.8","20.7",".",".",".",".",".",".",".",".",".",".","."
"Instrmntl Anal-Chem Engr","475","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","18","3.472","38.9","33.3","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","002","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","004","","25","3.560","40.0","32.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","005","","8","3.000","50.0",".","25.0",".",".","25.0",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","56","3.616","57.1","23.2","16.1",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"","599","001","","9","3.926","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","39","3.957","89.7","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Transport Phenomena","620","001","","13","3.423","38.5","7.7","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Independent Studies","699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Colloid & Interface Sci","747","001","","13","3.542","30.8","38.5","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","790","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 108 of 408",""
