"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"Modern Dance I","11","001","","20","3.850","85.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112","001","","15","3.536","53.3","20.0","13.3",".",".","6.7",".",".","6.7",".",".",".",".",".",".","."
"Ballet Technique I-B","126","001","","21","3.575","28.6","52.4","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151","001","","17","3.765","70.6","23.5",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","161","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165","001","","16","3.594","62.5","12.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Production Laboratory","171","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance","205","001","","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21","001","","23","3.806","52.2","21.7","4.3",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211","001","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212","001","","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","","21","3.895","76.2","9.5","4.8",".",".",".",".","4.8",".",".",".",".",".","4.8",".","."
"Ballet Technique II-B","226","001","","19","3.395","31.6","26.3","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro:Dynamcs-Dance Therapy","232","001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","255","001","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Hist I: Renaissance-50's","265","001","","15","3.067","40.0","20.0","13.3","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"African Dance Performance","277","001","","21","3.725","61.9","23.8","4.8",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","31","001","","22","3.575","50.0","4.5","36.4",".",".",".",".","4.5",".",".",".",".",".","4.5",".","."
"","31","002","","23","3.375","26.1","26.1","26.1","4.3","4.3",".",".","8.7",".",".",".",".",".","4.3",".","."
"Modern Jazz Dance","","Course Total","","45","3.475","37.8","15.6","31.1","2.2","2.2",".",".","6.7",".",".",".",".",".","4.4",".","."
"Modern Dance Technique VI","312","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325","001","","7","3.800","42.9","28.6",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","399","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","063","","6","3.864","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","","Course Total","","24","3.859","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41","001","","30","3.827","66.7","13.3","3.3","3.3",".",".",".","13.3",".",".",".",".",".",".",".","."
"","41","002","","41","3.983","70.7","2.4",".",".",".",".",".","26.8",".",".",".",".",".",".",".","."
"","41","003","","39","3.603","64.1","5.1","10.3","2.6",".","2.6","2.6","12.8",".",".",".",".",".",".",".","."
"","41","004","","34","3.875","61.8","5.9",".",".","2.9",".",".","26.5",".",".",".",".","2.9",".",".","."
"","41","005","","36","3.926","63.9","11.1",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Ballroom Dancing","","Course Total","","180","3.833","65.6","7.2","2.8","1.1","0.6","0.6","0.6","21.1",".",".",".",".","0.6",".",".","."
"Advanced Sound Design","430","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Javanese Performance Repertory","453","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Composition","555","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","560","001","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","","Page 98 of 408"
